Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Комментарий;Важная информация;2012 - 2мес., Чистые активы, RUB;2012 - 3мес., Чистые активы, RUB;2012 - 4мес., Чистые активы, RUB;2012 - 5мес., Чистые активы, RUB;2012 - 6мес., Чистые активы, RUB;2012 - 7мес., Чистые активы, RUB;2012 - 8мес., Чистые активы, RUB;2012 - 9мес., Чистые активы, RUB;2012 - 10мес., Чистые активы, RUB;2012 - 11мес., Чистые активы, RUB;2012 - 12мес., Чистые активы, RUB;2013 - 1мес., Чистые активы, RUB;2012 - 2мес., Счета в Банке России, RUB;2012 - 3мес., Счета в Банке России, RUB;2012 - 4мес., Счета в Банке России, RUB;2012 - 5мес., Счета в Банке России, RUB;2012 - 6мес., Счета в Банке России, RUB;2012 - 7мес., Счета в Банке России, RUB;2012 - 8мес., Счета в Банке России, RUB;2012 - 9мес., Счета в Банке России, RUB;2012 - 10мес., Счета в Банке России, RUB;2012 - 11мес., Счета в Банке России, RUB;2012 - 12мес., Счета в Банке России, RUB;2013 - 1мес., Счета в Банке России, RUB;2012 - 2мес., Коррсчета (НОСТРО), RUB;2012 - 3мес., Коррсчета (НОСТРО), RUB;2012 - 4мес., Коррсчета (НОСТРО), RUB;2012 - 5мес., Коррсчета (НОСТРО), RUB;2012 - 6мес., Коррсчета (НОСТРО), RUB;2012 - 7мес., Коррсчета (НОСТРО), RUB;2012 - 8мес., Коррсчета (НОСТРО), RUB;2012 - 9мес., Коррсчета (НОСТРО), RUB;2012 - 10мес., Коррсчета (НОСТРО), RUB;2012 - 11мес., Коррсчета (НОСТРО), RUB;2012 - 12мес., Коррсчета (НОСТРО), RUB;2013 - 1мес., Коррсчета (НОСТРО), RUB;2012 - 2мес., Ценные бумаги, RUB;2012 - 3мес., Ценные бумаги, RUB;2012 - 4мес., Ценные бумаги, RUB;2012 - 5мес., Ценные бумаги, RUB;2012 - 6мес., Ценные бумаги, RUB;2012 - 7мес., Ценные бумаги, RUB;2012 - 8мес., Ценные бумаги, RUB;2012 - 9мес., Ценные бумаги, RUB;2012 - 10мес., Ценные бумаги, RUB;2012 - 11мес., Ценные бумаги, RUB;2012 - 12мес., Ценные бумаги, RUB;2013 - 1мес., Ценные бумаги, RUB;2012 - 2мес., Кредиты, RUB;2012 - 3мес., Кредиты, RUB;2012 - 4мес., Кредиты, RUB;2012 - 5мес., Кредиты, RUB;2012 - 6мес., Кредиты, RUB;2012 - 7мес., Кредиты, RUB;2012 - 8мес., Кредиты, RUB;2012 - 9мес., Кредиты, RUB;2012 - 10мес., Кредиты, RUB;2012 - 11мес., Кредиты, RUB;2012 - 12мес., Кредиты, RUB;2013 - 1мес., Кредиты, RUB;2012 - 2мес., Кредиты организациям, RUB;2012 - 3мес., Кредиты организациям, RUB;2012 - 4мес., Кредиты организациям, RUB;2012 - 5мес., Кредиты организациям, RUB;2012 - 6мес., Кредиты организациям, RUB;2012 - 7мес., Кредиты организациям, RUB;2012 - 8мес., Кредиты организациям, RUB;2012 - 9мес., Кредиты организациям, RUB;2012 - 10мес., Кредиты организациям, RUB;2012 - 11мес., Кредиты организациям, RUB;2012 - 12мес., Кредиты организациям, RUB;2013 - 1мес., Кредиты организациям, RUB;2012 - 2мес., Кредиты физическим лицам, RUB;2012 - 3мес., Кредиты физическим лицам, RUB;2012 - 4мес., Кредиты физическим лицам, RUB;2012 - 5мес., Кредиты физическим лицам, RUB;2012 - 6мес., Кредиты физическим лицам, RUB;2012 - 7мес., Кредиты физическим лицам, RUB;2012 - 8мес., Кредиты физическим лицам, RUB;2012 - 9мес., Кредиты физическим лицам, RUB;2012 - 10мес., Кредиты физическим лицам, RUB;2012 - 11мес., Кредиты физическим лицам, RUB;2012 - 12мес., Кредиты физическим лицам, RUB;2013 - 1мес., Кредиты физическим лицам, RUB;2012 - 2мес., Кредиты другим банкам (МБК), RUB;2012 - 3мес., Кредиты другим банкам (МБК), RUB;2012 - 4мес., Кредиты другим банкам (МБК), RUB;2012 - 5мес., Кредиты другим банкам (МБК), RUB;2012 - 6мес., Кредиты другим банкам (МБК), RUB;2012 - 7мес., Кредиты другим банкам (МБК), RUB;2012 - 8мес., Кредиты другим банкам (МБК), RUB;2012 - 9мес., Кредиты другим банкам (МБК), RUB;2012 - 10мес., Кредиты другим банкам (МБК), RUB;2012 - 11мес., Кредиты другим банкам (МБК), RUB;2012 - 12мес., Кредиты другим банкам (МБК), RUB;2013 - 1мес., Кредиты другим банкам (МБК), RUB;2012 - 2мес., Основные средства, RUB;2012 - 3мес., Основные средства, RUB;2012 - 4мес., Основные средства, RUB;2012 - 5мес., Основные средства, RUB;2012 - 6мес., Основные средства, RUB;2012 - 7мес., Основные средства, RUB;2012 - 8мес., Основные средства, RUB;2012 - 9мес., Основные средства, RUB;2012 - 10мес., Основные средства, RUB;2012 - 11мес., Основные средства, RUB;2012 - 12мес., Основные средства, RUB;2013 - 1мес., Основные средства, RUB;2012 - 2мес., Учтённые векселя, RUB;2012 - 3мес., Учтённые векселя, RUB;2012 - 4мес., Учтённые векселя, RUB;2012 - 5мес., Учтённые векселя, RUB;2012 - 6мес., Учтённые векселя, RUB;2012 - 7мес., Учтённые векселя, RUB;2012 - 8мес., Учтённые векселя, RUB;2012 - 9мес., Учтённые векселя, RUB;2012 - 10мес., Учтённые векселя, RUB;2012 - 11мес., Учтённые векселя, RUB;2012 - 12мес., Учтённые векселя, RUB;2013 - 1мес., Учтённые векселя, RUB
1;ГАГАРИНСКИЙ (АО), КБ;606;"КОММЕРЧЕСКИЙ БАНК ""ГАГАРИНСКИЙ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";119361, г. Москва, пер. Очаковский 2-Й, д. 7;Хализев Александр Викторович;26.10.1990;28,0;;Ликвидируется;044525429;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей федеральной собственности;27 605;;Находится в стадии ликвидации от 23.11.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 03.07.2015;;;;;;;;;;;3 001 726 000;2 623 624 000;354 647 000;296 581 000;234 261 000;272 875 000;224 106 000;283 031 000;265 091 000;252 334 000;284 088 000;401 098 000;865 726 000;401 240 000;138 181 000;137 684 000;171 406 000;202 578 000;192 436 000;185 519 000;181 610 000;237 024 000;262 782 000;132 654 000;182 577 000;138 355 000;421 367 000;480 713 000;481 636 000;483 733 000;484 886 000;535 109 000;531 763 000;501 543 000;501 889 000;504 871 000;507 229 000;506 709 000;1 423 258 000;1 408 218 000;1 292 890 000;1 363 931 000;1 368 116 000;1 249 831 000;1 217 025 000;1 222 391 000;1 273 718 000;1 373 424 000;1 263 417 000;1 332 224 000;1 082 617 000;1 068 809 000;951 952 000;954 171 000;937 431 000;874 772 000;886 304 000;888 241 000;922 519 000;911 717 000;955 279 000;937 537 000;97 416 000;97 269 000;90 926 000;109 166 000;118 918 000;120 028 000;129 158 000;128 048 000;130 843 000;132 879 000;131 668 000;150 802 000;150 000 000;150 000 000;150 000 000;200 000 000;215 000 000;150 000 000;100 000 000;100 000 000;100 000 000;215 000 000;65 000 000;150 000 000;17 633 000;18 678 000;45 933 000;54 605 000;54 616 000;55 062 000;56 404 000;55 387 000;55 818 000;55 736 000;56 008 000;51 419 000;0;0;0;0;0;0;0;0;0;0;0;0
2;УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК, ОАО;2523;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК""";426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;05.10.1993;25,5;;Ликвидируется;049401869;Удмуртская Республика;Публичные акционерные общества;Смешанная российская собственность с долей федеральной собственности;100 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 12.07.2012;;;;;;;;;;;;;23 483 000;22 524 000;20 846 000;0;0;0;0;0;0;0;0;;880 000;1 093 000;39 000;0;0;0;0;0;0;0;0;;134 408 000;76 604 000;74 481 000;0;0;0;0;0;0;0;0;;767 508 000;678 399 000;622 137 000;0;0;0;0;0;0;0;0;;578 355 000;493 628 000;444 954 000;0;0;0;0;0;0;0;0;;71 924 000;68 642 000;63 585 000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;303 213 000;302 733 000;300 883 000;0;0;0;0;0;0;0;0;;72 692 000;73 397 000;73 100 000;0;0;0;0;0;0;0;0;
3;БАНК СБРР (ООО);1284;СИБИРСКИЙ БАНК РЕКОНСТРУКЦИИ И РАЗВИТИЯ (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ);625003, Тюменская обл., г. Тюмень, ул. Клары Цеткин, д. 61 корп. 1/2;Сергеев Андрей Николаевич;25.12.1990;28,0;;Ликвидируется;047102804;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;1 676 700;;Находится в стадии ликвидации от 07.11.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 06.02.2018;;;;;;;;;;;2 878 963 000;2 856 628 000;68 006 000;191 511 000;122 347 000;121 749 000;137 846 000;104 801 000;171 866 000;49 017 000;253 847 000;111 059 000;171 548 000;140 579 000;1 000;146 101 000;388 776 000;833 202 000;393 724 000;353 932 000;432 566 000;352 695 000;352 820 000;352 886 000;289 169 000;135 962 000;2 219 254 000;2 594 837 000;2 129 022 000;1 389 555 000;1 021 374 000;822 278 000;772 703 000;721 073 000;600 850 000;490 902 000;401 774 000;519 245 000;2 805 082 000;938 122 000;1 133 614 000;1 247 490 000;1 408 093 000;1 640 028 000;1 694 520 000;1 801 625 000;1 876 998 000;1 869 609 000;1 770 362 000;1 779 213 000;745 936 000;769 379 000;908 102 000;1 046 235 000;1 210 595 000;1 422 475 000;1 501 134 000;1 586 450 000;1 646 431 000;1 627 177 000;1 523 154 000;1 528 398 000;160 525 000;168 743 000;185 512 000;201 255 000;197 498 000;217 553 000;193 386 000;215 175 000;230 567 000;242 432 000;247 208 000;250 815 000;1 858 621 000;0;40 000 000;0;0;0;0;0;0;0;0;0;92 467 000;92 463 000;92 311 000;126 751 000;127 057 000;127 188 000;157 695 000;166 661 000;166 371 000;166 074 000;165 951 000;178 559 000;0;0;0;0;0;0;0;0;0;0;0;0
4;СИБЭС (АО), БАНК;208;"БАНК ""СИБЭС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";644007, Омская обл., г. Омск, ул. Рабиновича, д. 132/134 корп. - офис;Кузнецов Евгений Юрьевич;05.10.1998;20,5;;Ликвидируется;045209713;Омская область;Непубличные акционерные общества;Частная собственность;5 935 000;;Находится в стадии ликвидации от 23.10.2018, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.04.2017;;;;;;;;;;;1 274 594 000;1 244 097 000;55 200 000;42 449 000;65 454 000;54 082 000;68 879 000;68 378 000;17 091 000;22 924 000;13 633 000;15 826 000;35 283 000;29 379 000;54 453 000;23 350 000;1 446 000;69 179 000;32 305 000;65 167 000;64 611 000;37 336 000;27 252 000;66 111 000;24 963 000;1 571 000;149 399 000;165 327 000;206 761 000;211 585 000;158 229 000;150 612 000;147 534 000;216 460 000;215 247 000;186 281 000;271 869 000;283 462 000;789 607 000;794 875 000;744 977 000;741 990 000;806 202 000;833 076 000;858 650 000;847 072 000;892 322 000;848 561 000;803 653 000;795 872 000;410 203 000;419 727 000;416 160 000;416 772 000;415 997 000;412 269 000;407 824 000;394 865 000;400 517 000;406 728 000;397 628 000;387 739 000;188 904 000;184 648 000;178 317 000;174 718 000;179 705 000;180 307 000;180 326 000;181 707 000;181 305 000;171 333 000;165 525 000;167 633 000;190 500 000;190 500 000;150 500 000;150 500 000;210 500 000;240 500 000;270 500 000;270 500 000;310 500 000;270 500 000;240 500 000;240 500 000;80 321 000;80 380 000;79 107 000;79 304 000;79 302 000;79 433 000;79 420 000;79 367 000;79 496 000;86 500 000;89 961 000;89 760 000;16 880 000;36 531 000;78 801 000;83 336 000;30 881 000;23 352 000;20 932 000;90 164 000;86 070 000;55 533 000;141 668 000;151 415 000
5;(ОАО УДМУРТИНВЕСТСТРОЙБАНК);2447;АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ УДМУРТСКИЙ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ БАНК (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО);426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;03.08.1993;25,5;;Ликвидируется;049401863;Удмуртская Республика;Публичные акционерные общества;Частная собственность;8 880 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 20.12.2011;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;
6;ТРАНСИНВЕСТБАНК (ООО), КБ;3238;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММЕРЧЕСКИЙ БАНК ""ТРАНСПОРТНЫЙ ИНВЕСТИЦИОННЫЙ БАНК""";123104, г. Москва, пер. Палашёвский М, д. 5;Баушева Надежда Сергеевна;22.03.1995;24,0;;Ликвидируется;044525212;Москва;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;13 780 455;;Находится в стадии ликвидации от 28.03.2014, Решение о признании должника банкротом и открытии конкурсного производства от 11.11.2013;;;;;;;;;;;1 956 739 000;1 680 607 000;22 549 000;44 129 000;317 659 000;149 253 000;31 811 000;35 703 000;7 139 000;27 160 000;57 169 000;132 051 000;294 980 000;152 790 000;65 043 000;14 498 000;15 655 000;14 502 000;12 100 000;8 180 000;7 332 000;14 653 000;13 448 000;23 814 000;36 206 000;29 120 000;0;0;0;0;0;0;0;0;0;0;0;0;146 142 000;240 967 000;304 889 000;217 494 000;344 596 000;306 956 000;282 961 000;289 062 000;389 146 000;615 944 000;1 107 814 000;1 250 052 000;125 062 000;185 128 000;185 134 000;158 065 000;272 213 000;251 084 000;222 146 000;221 905 000;282 012 000;461 930 000;685 810 000;835 750 000;13 118 000;20 640 000;24 553 000;23 995 000;36 922 000;20 458 000;25 393 000;31 838 000;104 770 000;151 685 000;364 726 000;357 050 000;7 962 000;2 199 000;62 202 000;2 434 000;2 461 000;2 414 000;2 422 000;2 319 000;2 364 000;2 329 000;2 278 000;2 252 000;3 373 000;2 217 000;3 969 000;3 339 000;3 156 000;3 078 000;5 384 000;5 533 000;5 354 000;4 879 000;5 560 000;7 619 000;0;0;0;0;0;0;0;0;0;0;0;0
7;СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА, ЗАО;3317;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО - НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА""";163000, Архангельская обл., г. Архангельск, проспект Советских Космонавтов, д. 52;Ребгун Елена Зиновьевна;09.02.1993;26,0;;Ликвидируется;041117309;Архангельская область;Непубличные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;15 835 000;;Находится в стадии ликвидации от 23.06.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 22.09.2014;;;;;;;;;;;529 161 000;520 983 000;55 119 000;51 061 000;62 686 000;33 588 000;64 378 000;50 038 000;56 248 000;57 022 000;32 065 000;54 485 000;44 245 000;54 737 000;183 278 000;191 961 000;198 038 000;179 660 000;181 218 000;197 122 000;189 683 000;179 437 000;222 318 000;230 753 000;225 575 000;208 637 000;0;0;0;0;0;0;0;0;0;0;0;0;212 602 000;194 151 000;196 776 000;201 480 000;188 771 000;160 739 000;137 045 000;142 858 000;140 551 000;140 735 000;151 676 000;154 964 000;183 012 000;164 561 000;167 186 000;171 890 000;159 181 000;131 149 000;136 455 000;142 268 000;139 961 000;140 145 000;151 086 000;154 374 000;0;0;0;0;0;0;0;0;0;0;0;0;29 590 000;29 590 000;29 590 000;29 590 000;29 590 000;29 590 000;590 000;590 000;590 000;590 000;590 000;590 000;52 741 000;63 088 000;62 828 000;61 432 000;64 237 000;67 700 000;67 462 000;67 228 000;65 903 000;65 670 000;65 422 000;65 190 000;0;0;0;0;0;0;0;0;0;0;0;0
8;ИРЦ АО, РНКО;3447;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ИННОВАЦИОННЫЙ РАСЧЕТНЫЙ ЦЕНТР"" АКЦИОНЕРНОЕ ОБЩЕСТВО";121165, г. Москва, ул. Дунаевского, д. 4;Ребгун Эдуард Константинович;19.01.2010;9,0;;Ликвидируется;044525276;Москва;Непубличные акционерные общества;Частная собственность;16 600 000;;Находится в стадии ликвидации от 30.10.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте для расчётных небанковских кредитных организаций от 10.08.2018;;;;;;;;;;;81 410 000;155 011 000;1 166 000;987 000;9 513 000;30 625 000;6 460 000;3 289 000;18 745 000;21 981 000;8 576 000;18 280 000;10 515 000;19 816 000;13 266 000;13 320 000;5 008 000;5 295 000;30 867 000;33 158 000;24 142 000;28 352 000;88 812 000;128 314 000;56 308 000;120 964 000;0;0;0;0;0;0;0;0;0;0;0;0;0;500 000;0;0;0;0;0;0;0;0;0;989 000;0;500 000;0;0;0;0;0;0;0;0;0;989 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97 000;94 000;92 000;90 000;87 000;123 000;128 000;126 000;119 000;270 000;264 000;262 000;0;0;0;0;0;0;0;0;0;0;0;0
9;МБР-БАНК, АО КБ;2620;"КОММЕРЧЕСКИЙ БАНК ""МЕЖРЕГИОНАЛЬНЫЙ БАНК РЕКОНСТРУКЦИИ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";115184, г. Москва, ул. Ордынка Б, д. 59 корп. 2;Баушева Надежда Сергеевна;21.12.1993;25,0;;Ликвидируется;044525169;Москва;Непубличные акционерные общества;Частная собственность;17 455 000;;Находится в стадии ликвидации от 11.10.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 17.06.2016;;;;;;;;;;;380 530 000;374 172 000;119 085 000;140 929 000;145 251 000;138 351 000;359 919 000;116 551 000;64 072 000;246 461 000;194 065 000;103 804 000;144 890 000;107 976 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;0;0;0;0;0;0;0;0;0;0;0;0;57 073 000;83 110 000;112 247 000;108 032 000;104 937 000;247 887 000;327 054 000;166 071 000;151 504 000;224 273 000;186 302 000;217 757 000;37 527 000;66 820 000;96 275 000;91 306 000;89 778 000;178 195 000;259 198 000;100 050 000;87 319 000;161 923 000;125 788 000;159 079 000;19 546 000;16 290 000;15 972 000;16 726 000;15 159 000;69 692 000;67 856 000;66 021 000;64 185 000;62 350 000;60 514 000;58 678 000;0;0;0;0;0;0;0;0;0;0;0;0;1 567 000;1 542 000;1 659 000;1 666 000;1 639 000;1 680 000;1 603 000;1 655 000;1 585 000;1 467 000;1 226 000;1 186 000;0;0;0;0;0;0;0;0;0;0;0;0
10;РЦ ЭНЕРГОБИЗНЕС (ООО), РНКО;3485;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ ЦЕНТР ""ЭНЕРГОБИЗНЕС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105120, г. Москва, пер. Сыромятнический 3-Й, д. 3/9 корп. 1;Мащев Александр Борисович;24.06.2008;10,5;;Ликвидируется;044525252;Москва;Общества с ограниченной ответственностью;Частная собственность;18 000 000;;Находится в стадии ликвидации от 09.12.2016, Решение о признании должника банкротом и открытии конкурсного производства от 22.10.2016;;;;;;;;;;;871 657 000;373 152 000;63 337 000;256 091 000;235 354 000;118 167 000;232 713 000;145 976 000;193 890 000;247 491 000;162 078 000;433 502 000;689 196 000;197 379 000;8 551 000;12 964 000;8 577 000;11 380 000;9 097 000;6 079 000;5 058 000;82 506 000;55 587 000;55 152 000;95 005 000;106 052 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 790 000;1 629 000;7 272 000;7 027 000;6 770 000;6 538 000;6 722 000;5 984 000;6 186 000;6 627 000;7 099 000;6 848 000;0;0;0;0;0;0;0;0;0;0;0;0
