Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Комментарий;Важная информация;2016 - 2мес., Чистые активы, RUB;2016 - 3мес., Чистые активы, RUB;2016 - 4мес., Чистые активы, RUB;2016 - 5мес., Чистые активы, RUB;2016 - 6мес., Чистые активы, RUB;2016 - 7мес., Чистые активы, RUB;2016 - 8мес., Чистые активы, RUB;2016 - 9мес., Чистые активы, RUB;2016 - 10мес., Чистые активы, RUB;2016 - 11мес., Чистые активы, RUB;2016 - 12мес., Чистые активы, RUB;2017 - 1мес., Чистые активы, RUB;2016 - 2мес., Счета в Банке России, RUB;2016 - 3мес., Счета в Банке России, RUB;2016 - 4мес., Счета в Банке России, RUB;2016 - 5мес., Счета в Банке России, RUB;2016 - 6мес., Счета в Банке России, RUB;2016 - 7мес., Счета в Банке России, RUB;2016 - 8мес., Счета в Банке России, RUB;2016 - 9мес., Счета в Банке России, RUB;2016 - 10мес., Счета в Банке России, RUB;2016 - 11мес., Счета в Банке России, RUB;2016 - 12мес., Счета в Банке России, RUB;2017 - 1мес., Счета в Банке России, RUB;2016 - 2мес., Коррсчета (НОСТРО), RUB;2016 - 3мес., Коррсчета (НОСТРО), RUB;2016 - 4мес., Коррсчета (НОСТРО), RUB;2016 - 5мес., Коррсчета (НОСТРО), RUB;2016 - 6мес., Коррсчета (НОСТРО), RUB;2016 - 7мес., Коррсчета (НОСТРО), RUB;2016 - 8мес., Коррсчета (НОСТРО), RUB;2016 - 9мес., Коррсчета (НОСТРО), RUB;2016 - 10мес., Коррсчета (НОСТРО), RUB;2016 - 11мес., Коррсчета (НОСТРО), RUB;2016 - 12мес., Коррсчета (НОСТРО), RUB;2017 - 1мес., Коррсчета (НОСТРО), RUB;2016 - 2мес., Ценные бумаги, RUB;2016 - 3мес., Ценные бумаги, RUB;2016 - 4мес., Ценные бумаги, RUB;2016 - 5мес., Ценные бумаги, RUB;2016 - 6мес., Ценные бумаги, RUB;2016 - 7мес., Ценные бумаги, RUB;2016 - 8мес., Ценные бумаги, RUB;2016 - 9мес., Ценные бумаги, RUB;2016 - 10мес., Ценные бумаги, RUB;2016 - 11мес., Ценные бумаги, RUB;2016 - 12мес., Ценные бумаги, RUB;2017 - 1мес., Ценные бумаги, RUB;2016 - 2мес., Кредиты, RUB;2016 - 3мес., Кредиты, RUB;2016 - 4мес., Кредиты, RUB;2016 - 5мес., Кредиты, RUB;2016 - 6мес., Кредиты, RUB;2016 - 7мес., Кредиты, RUB;2016 - 8мес., Кредиты, RUB;2016 - 9мес., Кредиты, RUB;2016 - 10мес., Кредиты, RUB;2016 - 11мес., Кредиты, RUB;2016 - 12мес., Кредиты, RUB;2017 - 1мес., Кредиты, RUB;2016 - 2мес., Кредиты организациям, RUB;2016 - 3мес., Кредиты организациям, RUB;2016 - 4мес., Кредиты организациям, RUB;2016 - 5мес., Кредиты организациям, RUB;2016 - 6мес., Кредиты организациям, RUB;2016 - 7мес., Кредиты организациям, RUB;2016 - 8мес., Кредиты организациям, RUB;2016 - 9мес., Кредиты организациям, RUB;2016 - 10мес., Кредиты организациям, RUB;2016 - 11мес., Кредиты организациям, RUB;2016 - 12мес., Кредиты организациям, RUB;2017 - 1мес., Кредиты организациям, RUB;2016 - 2мес., Кредиты физическим лицам, RUB;2016 - 3мес., Кредиты физическим лицам, RUB;2016 - 4мес., Кредиты физическим лицам, RUB;2016 - 5мес., Кредиты физическим лицам, RUB;2016 - 6мес., Кредиты физическим лицам, RUB;2016 - 7мес., Кредиты физическим лицам, RUB;2016 - 8мес., Кредиты физическим лицам, RUB;2016 - 9мес., Кредиты физическим лицам, RUB;2016 - 10мес., Кредиты физическим лицам, RUB;2016 - 11мес., Кредиты физическим лицам, RUB;2016 - 12мес., Кредиты физическим лицам, RUB;2017 - 1мес., Кредиты физическим лицам, RUB;2016 - 2мес., Кредиты другим банкам (МБК), RUB;2016 - 3мес., Кредиты другим банкам (МБК), RUB;2016 - 4мес., Кредиты другим банкам (МБК), RUB;2016 - 5мес., Кредиты другим банкам (МБК), RUB;2016 - 6мес., Кредиты другим банкам (МБК), RUB;2016 - 7мес., Кредиты другим банкам (МБК), RUB;2016 - 8мес., Кредиты другим банкам (МБК), RUB;2016 - 9мес., Кредиты другим банкам (МБК), RUB;2016 - 10мес., Кредиты другим банкам (МБК), RUB;2016 - 11мес., Кредиты другим банкам (МБК), RUB;2016 - 12мес., Кредиты другим банкам (МБК), RUB;2017 - 1мес., Кредиты другим банкам (МБК), RUB;2016 - 2мес., Основные средства, RUB;2016 - 3мес., Основные средства, RUB;2016 - 4мес., Основные средства, RUB;2016 - 5мес., Основные средства, RUB;2016 - 6мес., Основные средства, RUB;2016 - 7мес., Основные средства, RUB;2016 - 8мес., Основные средства, RUB;2016 - 9мес., Основные средства, RUB;2016 - 10мес., Основные средства, RUB;2016 - 11мес., Основные средства, RUB;2016 - 12мес., Основные средства, RUB;2017 - 1мес., Основные средства, RUB;2016 - 2мес., Учтённые векселя, RUB;2016 - 3мес., Учтённые векселя, RUB;2016 - 4мес., Учтённые векселя, RUB;2016 - 5мес., Учтённые векселя, RUB;2016 - 6мес., Учтённые векселя, RUB;2016 - 7мес., Учтённые векселя, RUB;2016 - 8мес., Учтённые векселя, RUB;2016 - 9мес., Учтённые векселя, RUB;2016 - 10мес., Учтённые векселя, RUB;2016 - 11мес., Учтённые векселя, RUB;2016 - 12мес., Учтённые векселя, RUB;2017 - 1мес., Учтённые векселя, RUB
1;ГАГАРИНСКИЙ (АО), КБ;606;"КОММЕРЧЕСКИЙ БАНК ""ГАГАРИНСКИЙ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";119361, г. Москва, пер. Очаковский 2-Й, д. 7;Хализев Александр Викторович;26.10.1990;28,0;;Ликвидируется;044525429;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей федеральной собственности;27 605;;Находится в стадии ликвидации от 23.11.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 03.07.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК, ОАО;2523;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК""";426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;05.10.1993;25,5;;Ликвидируется;049401869;Удмуртская Республика;Публичные акционерные общества;Смешанная российская собственность с долей федеральной собственности;100 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 12.07.2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;БАНК СБРР (ООО);1284;СИБИРСКИЙ БАНК РЕКОНСТРУКЦИИ И РАЗВИТИЯ (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ);625003, Тюменская обл., г. Тюмень, ул. Клары Цеткин, д. 61 корп. 1/2;Сергеев Андрей Николаевич;25.12.1990;28,0;;Ликвидируется;047102804;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;1 676 700;;Находится в стадии ликвидации от 07.11.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 06.02.2018;4 306 895 000;4 448 643 000;4 369 653 000;4 517 487 000;4 648 975 000;4 337 973 000;4 462 444 000;4 526 261 000;4 398 847 000;4 438 011 000;4 450 046 000;4 773 098 000;380 892 000;312 170 000;213 184 000;422 587 000;550 212 000;335 714 000;356 654 000;345 525 000;348 026 000;374 207 000;297 133 000;261 230 000;541 000;408 000;555 000;400 000;285 000;145 000;271 000;189 000;245 000;235 000;58 000;92 000;1 980 354 000;2 165 138 000;2 107 961 000;1 998 539 000;1 867 118 000;1 808 571 000;1 822 943 000;1 832 678 000;1 793 858 000;1 611 551 000;1 628 675 000;1 859 306 000;1 608 730 000;1 653 167 000;1 723 432 000;1 767 445 000;1 904 302 000;1 862 406 000;1 931 135 000;2 002 105 000;1 866 172 000;2 100 083 000;2 149 892 000;2 263 821 000;1 450 186 000;1 518 930 000;1 585 769 000;1 642 795 000;1 720 052 000;1 691 230 000;1 766 541 000;1 758 860 000;1 748 491 000;1 788 053 000;1 681 402 000;1 756 792 000;130 528 000;129 275 000;127 589 000;119 797 000;129 501 000;121 614 000;114 596 000;113 099 000;113 898 000;109 192 000;105 029 000;102 466 000;22 999 000;0;5 167 000;0;49 951 000;44 818 000;45 463 000;125 987 000;0;199 431 000;360 430 000;401 908 000;187 093 000;186 606 000;186 127 000;185 641 000;185 470 000;184 908 000;184 565 000;183 876 000;183 369 000;182 947 000;182 591 000;181 967 000;0;0;0;0;0;0;0;0;0;0;0;0
4;СИБЭС (АО), БАНК;208;"БАНК ""СИБЭС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";644007, Омская обл., г. Омск, ул. Рабиновича, д. 132/134 корп. - офис;Кузнецов Евгений Юрьевич;05.10.1998;20,5;;Ликвидируется;045209713;Омская область;Непубличные акционерные общества;Частная собственность;5 935 000;;Находится в стадии ликвидации от 23.10.2018, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.04.2017;3 488 420 000;3 466 706 000;3 525 353 000;3 365 831 000;3 471 771 000;3 415 884 000;3 485 620 000;3 531 624 000;3 473 262 000;3 449 736 000;3 523 784 000;3 537 822 000;83 097 000;104 861 000;47 881 000;67 945 000;72 609 000;53 740 000;62 491 000;100 165 000;69 251 000;61 956 000;132 467 000;47 543 000;331 847 000;225 152 000;294 230 000;77 623 000;20 922 000;67 758 000;83 015 000;67 967 000;74 453 000;91 555 000;120 213 000;154 341 000;120 691 000;121 496 000;120 222 000;121 191 000;62 178 000;62 669 000;653 000;653 000;653 000;653 000;653 000;653 000;2 469 019 000;2 475 898 000;2 504 931 000;2 534 917 000;2 666 517 000;2 621 110 000;2 686 995 000;2 697 055 000;2 651 669 000;2 527 472 000;2 548 474 000;2 540 079 000;701 386 000;689 240 000;686 262 000;655 266 000;632 936 000;637 288 000;722 858 000;685 737 000;694 036 000;661 368 000;652 797 000;660 100 000;1 064 804 000;1 082 259 000;1 085 279 000;1 151 133 000;1 125 137 000;1 133 880 000;1 155 225 000;1 173 720 000;1 169 849 000;1 170 313 000;1 124 039 000;1 104 509 000;35 000 000;35 000 000;35 000 000;35 000 000;150 000 000;135 000 000;167 800 000;150 000 000;130 000 000;0;0;0;195 681 000;195 723 000;195 723 000;195 434 000;194 510 000;194 481 000;197 456 000;199 070 000;198 833 000;198 158 000;210 394 000;210 253 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000
5;(ОАО УДМУРТИНВЕСТСТРОЙБАНК);2447;АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ УДМУРТСКИЙ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ БАНК (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО);426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;03.08.1993;25,5;;Ликвидируется;049401863;Удмуртская Республика;Публичные акционерные общества;Частная собственность;8 880 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 20.12.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ТРАНСИНВЕСТБАНК (ООО), КБ;3238;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММЕРЧЕСКИЙ БАНК ""ТРАНСПОРТНЫЙ ИНВЕСТИЦИОННЫЙ БАНК""";123104, г. Москва, пер. Палашёвский М, д. 5;Баушева Надежда Сергеевна;22.03.1995;24,0;;Ликвидируется;044525212;Москва;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;13 780 455;;Находится в стадии ликвидации от 28.03.2014, Решение о признании должника банкротом и открытии конкурсного производства от 11.11.2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА, ЗАО;3317;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО - НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА""";163000, Архангельская обл., г. Архангельск, проспект Советских Космонавтов, д. 52;Ребгун Елена Зиновьевна;09.02.1993;26,0;;Ликвидируется;041117309;Архангельская область;Непубличные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;15 835 000;;Находится в стадии ликвидации от 23.06.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 22.09.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ИРЦ АО, РНКО;3447;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ИННОВАЦИОННЫЙ РАСЧЕТНЫЙ ЦЕНТР"" АКЦИОНЕРНОЕ ОБЩЕСТВО";121165, г. Москва, ул. Дунаевского, д. 4;Ребгун Эдуард Константинович;19.01.2010;9,0;;Ликвидируется;044525276;Москва;Непубличные акционерные общества;Частная собственность;16 600 000;;Находится в стадии ликвидации от 30.10.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте для расчётных небанковских кредитных организаций от 10.08.2018;216 820 000;234 564 000;268 221 000;260 286 000;220 628 000;201 477 000;203 826 000;208 309 000;222 839 000;210 052 000;235 722 000;194 998 000;23 447 000;13 017 000;12 582 000;14 567 000;11 878 000;11 970 000;10 142 000;12 082 000;10 657 000;17 978 000;11 841 000;14 571 000;192 206 000;220 263 000;253 950 000;244 020 000;207 031 000;187 921 000;191 849 000;194 533 000;210 418 000;190 284 000;221 803 000;178 610 000;0;0;0;0;0;0;302 000;304 000;612 000;567 000;553 000;556 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203 000;218 000;211 000;206 000;200 000;195 000;189 000;187 000;186 000;185 000;154 000;246 000;0;0;0;0;0;0;0;0;0;0;0;0
9;МБР-БАНК, АО КБ;2620;"КОММЕРЧЕСКИЙ БАНК ""МЕЖРЕГИОНАЛЬНЫЙ БАНК РЕКОНСТРУКЦИИ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";115184, г. Москва, ул. Ордынка Б, д. 59 корп. 2;Баушева Надежда Сергеевна;21.12.1993;25,0;;Ликвидируется;044525169;Москва;Непубличные акционерные общества;Частная собственность;17 455 000;;Находится в стадии ликвидации от 11.10.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 17.06.2016;790 862 000;781 993 000;782 443 000;793 122 000;;;;;;;;;25 944 000;22 246 000;10 353 000;10 824 000;;;;;;;;;180 000;181 000;181 000;181 000;;;;;;;;;0;0;0;0;;;;;;;;;704 026 000;688 299 000;688 286 000;681 371 000;;;;;;;;;584 589 000;572 487 000;573 575 000;572 794 000;;;;;;;;;119 437 000;115 812 000;114 711 000;108 577 000;;;;;;;;;0;0;0;0;;;;;;;;;765 000;746 000;729 000;711 000;;;;;;;;;0;0;0;0;;;;;;;;
10;РЦ ЭНЕРГОБИЗНЕС (ООО), РНКО;3485;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ ЦЕНТР ""ЭНЕРГОБИЗНЕС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105120, г. Москва, пер. Сыромятнический 3-Й, д. 3/9 корп. 1;Мащев Александр Борисович;24.06.2008;10,5;;Ликвидируется;044525252;Москва;Общества с ограниченной ответственностью;Частная собственность;18 000 000;;Находится в стадии ликвидации от 09.12.2016, Решение о признании должника банкротом и открытии конкурсного производства от 22.10.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
