Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Комментарий;Важная информация;2014 - 2мес., Чистые активы, RUB;2014 - 3мес., Чистые активы, RUB;2014 - 4мес., Чистые активы, RUB;2014 - 5мес., Чистые активы, RUB;2014 - 6мес., Чистые активы, RUB;2014 - 7мес., Чистые активы, RUB;2014 - 8мес., Чистые активы, RUB;2014 - 9мес., Чистые активы, RUB;2014 - 10мес., Чистые активы, RUB;2014 - 11мес., Чистые активы, RUB;2014 - 12мес., Чистые активы, RUB;2015 - 1мес., Чистые активы, RUB;2014 - 2мес., Счета в Банке России, RUB;2014 - 3мес., Счета в Банке России, RUB;2014 - 4мес., Счета в Банке России, RUB;2014 - 5мес., Счета в Банке России, RUB;2014 - 6мес., Счета в Банке России, RUB;2014 - 7мес., Счета в Банке России, RUB;2014 - 8мес., Счета в Банке России, RUB;2014 - 9мес., Счета в Банке России, RUB;2014 - 10мес., Счета в Банке России, RUB;2014 - 11мес., Счета в Банке России, RUB;2014 - 12мес., Счета в Банке России, RUB;2015 - 1мес., Счета в Банке России, RUB;2014 - 2мес., Коррсчета (НОСТРО), RUB;2014 - 3мес., Коррсчета (НОСТРО), RUB;2014 - 4мес., Коррсчета (НОСТРО), RUB;2014 - 5мес., Коррсчета (НОСТРО), RUB;2014 - 6мес., Коррсчета (НОСТРО), RUB;2014 - 7мес., Коррсчета (НОСТРО), RUB;2014 - 8мес., Коррсчета (НОСТРО), RUB;2014 - 9мес., Коррсчета (НОСТРО), RUB;2014 - 10мес., Коррсчета (НОСТРО), RUB;2014 - 11мес., Коррсчета (НОСТРО), RUB;2014 - 12мес., Коррсчета (НОСТРО), RUB;2015 - 1мес., Коррсчета (НОСТРО), RUB;2014 - 2мес., Ценные бумаги, RUB;2014 - 3мес., Ценные бумаги, RUB;2014 - 4мес., Ценные бумаги, RUB;2014 - 5мес., Ценные бумаги, RUB;2014 - 6мес., Ценные бумаги, RUB;2014 - 7мес., Ценные бумаги, RUB;2014 - 8мес., Ценные бумаги, RUB;2014 - 9мес., Ценные бумаги, RUB;2014 - 10мес., Ценные бумаги, RUB;2014 - 11мес., Ценные бумаги, RUB;2014 - 12мес., Ценные бумаги, RUB;2015 - 1мес., Ценные бумаги, RUB;2014 - 2мес., Кредиты, RUB;2014 - 3мес., Кредиты, RUB;2014 - 4мес., Кредиты, RUB;2014 - 5мес., Кредиты, RUB;2014 - 6мес., Кредиты, RUB;2014 - 7мес., Кредиты, RUB;2014 - 8мес., Кредиты, RUB;2014 - 9мес., Кредиты, RUB;2014 - 10мес., Кредиты, RUB;2014 - 11мес., Кредиты, RUB;2014 - 12мес., Кредиты, RUB;2015 - 1мес., Кредиты, RUB;2014 - 2мес., Кредиты организациям, RUB;2014 - 3мес., Кредиты организациям, RUB;2014 - 4мес., Кредиты организациям, RUB;2014 - 5мес., Кредиты организациям, RUB;2014 - 6мес., Кредиты организациям, RUB;2014 - 7мес., Кредиты организациям, RUB;2014 - 8мес., Кредиты организациям, RUB;2014 - 9мес., Кредиты организациям, RUB;2014 - 10мес., Кредиты организациям, RUB;2014 - 11мес., Кредиты организациям, RUB;2014 - 12мес., Кредиты организациям, RUB;2015 - 1мес., Кредиты организациям, RUB;2014 - 2мес., Кредиты физическим лицам, RUB;2014 - 3мес., Кредиты физическим лицам, RUB;2014 - 4мес., Кредиты физическим лицам, RUB;2014 - 5мес., Кредиты физическим лицам, RUB;2014 - 6мес., Кредиты физическим лицам, RUB;2014 - 7мес., Кредиты физическим лицам, RUB;2014 - 8мес., Кредиты физическим лицам, RUB;2014 - 9мес., Кредиты физическим лицам, RUB;2014 - 10мес., Кредиты физическим лицам, RUB;2014 - 11мес., Кредиты физическим лицам, RUB;2014 - 12мес., Кредиты физическим лицам, RUB;2015 - 1мес., Кредиты физическим лицам, RUB;2014 - 2мес., Кредиты другим банкам (МБК), RUB;2014 - 3мес., Кредиты другим банкам (МБК), RUB;2014 - 4мес., Кредиты другим банкам (МБК), RUB;2014 - 5мес., Кредиты другим банкам (МБК), RUB;2014 - 6мес., Кредиты другим банкам (МБК), RUB;2014 - 7мес., Кредиты другим банкам (МБК), RUB;2014 - 8мес., Кредиты другим банкам (МБК), RUB;2014 - 9мес., Кредиты другим банкам (МБК), RUB;2014 - 10мес., Кредиты другим банкам (МБК), RUB;2014 - 11мес., Кредиты другим банкам (МБК), RUB;2014 - 12мес., Кредиты другим банкам (МБК), RUB;2015 - 1мес., Кредиты другим банкам (МБК), RUB;2014 - 2мес., Основные средства, RUB;2014 - 3мес., Основные средства, RUB;2014 - 4мес., Основные средства, RUB;2014 - 5мес., Основные средства, RUB;2014 - 6мес., Основные средства, RUB;2014 - 7мес., Основные средства, RUB;2014 - 8мес., Основные средства, RUB;2014 - 9мес., Основные средства, RUB;2014 - 10мес., Основные средства, RUB;2014 - 11мес., Основные средства, RUB;2014 - 12мес., Основные средства, RUB;2015 - 1мес., Основные средства, RUB;2014 - 2мес., Учтённые векселя, RUB;2014 - 3мес., Учтённые векселя, RUB;2014 - 4мес., Учтённые векселя, RUB;2014 - 5мес., Учтённые векселя, RUB;2014 - 6мес., Учтённые векселя, RUB;2014 - 7мес., Учтённые векселя, RUB;2014 - 8мес., Учтённые векселя, RUB;2014 - 9мес., Учтённые векселя, RUB;2014 - 10мес., Учтённые векселя, RUB;2014 - 11мес., Учтённые векселя, RUB;2014 - 12мес., Учтённые векселя, RUB;2015 - 1мес., Учтённые векселя, RUB
1;ГАГАРИНСКИЙ (АО), КБ;606;"КОММЕРЧЕСКИЙ БАНК ""ГАГАРИНСКИЙ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";119361, г. Москва, пер. Очаковский 2-Й, д. 7;Хализев Александр Викторович;26.10.1990;28,0;;Ликвидируется;044525429;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей федеральной собственности;27 605;;Находится в стадии ликвидации от 23.11.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 03.07.2015;2 829 278 000;2 757 807 000;2 571 031 000;3 056 064 000;3 121 012 000;3 278 405 000;3 478 052 000;3 533 817 000;4 296 145 000;4 304 951 000;4 631 804 000;4 703 983 000;258 329 000;175 265 000;90 215 000;277 016 000;221 397 000;163 242 000;180 254 000;129 277 000;114 650 000;134 523 000;98 976 000;161 762 000;415 919 000;188 313 000;162 148 000;148 286 000;77 002 000;80 846 000;94 481 000;79 955 000;163 904 000;99 660 000;148 321 000;93 242 000;619 612 000;611 703 000;504 268 000;559 971 000;671 645 000;864 815 000;862 317 000;874 950 000;1 601 718 000;1 547 089 000;1 323 328 000;1 314 916 000;1 363 535 000;1 353 469 000;1 409 376 000;1 670 525 000;1 705 179 000;1 765 412 000;1 865 978 000;2 041 050 000;1 977 059 000;2 133 353 000;2 177 402 000;2 087 989 000;960 111 000;1 138 533 000;1 233 165 000;1 403 868 000;1 482 044 000;1 499 458 000;1 614 849 000;1 714 299 000;1 646 471 000;1 805 664 000;1 919 472 000;1 831 576 000;165 300 000;148 525 000;138 123 000;140 117 000;152 631 000;150 794 000;140 618 000;141 125 000;140 008 000;141 627 000;138 038 000;137 233 000;195 000 000;25 000 000;0;53 474 000;3 363 000;53 573 000;53 693 000;133 939 000;144 339 000;144 932 000;105 626 000;106 893 000;33 614 000;251 050 000;242 896 000;242 894 000;242 059 000;242 061 000;246 288 000;247 630 000;247 815 000;247 777 000;721 588 000;721 102 000;0;0;0;0;0;0;0;0;141 282 000;99 533 000;0;0
2;УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК, ОАО;2523;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК""";426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;05.10.1993;25,5;;Ликвидируется;049401869;Удмуртская Республика;Публичные акционерные общества;Смешанная российская собственность с долей федеральной собственности;100 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 12.07.2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;БАНК СБРР (ООО);1284;СИБИРСКИЙ БАНК РЕКОНСТРУКЦИИ И РАЗВИТИЯ (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ);625003, Тюменская обл., г. Тюмень, ул. Клары Цеткин, д. 61 корп. 1/2;Сергеев Андрей Николаевич;25.12.1990;28,0;;Ликвидируется;047102804;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;1 676 700;;Находится в стадии ликвидации от 07.11.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 06.02.2018;4 214 708 000;4 402 482 000;4 339 318 000;4 344 948 000;4 590 628 000;4 381 636 000;4 586 259 000;4 490 342 000;4 529 127 000;4 443 508 000;4 622 415 000;4 568 689 000;177 431 000;317 484 000;222 011 000;229 645 000;155 012 000;80 585 000;282 685 000;290 356 000;140 987 000;140 304 000;101 290 000;107 208 000;5 891 000;5 845 000;276 000;230 000;266 000;113 000;399 000;587 000;807 000;623 000;269 146 000;176 666 000;2 613 688 000;2 458 110 000;2 353 085 000;2 513 299 000;2 666 783 000;2 424 772 000;2 344 771 000;2 104 419 000;2 246 569 000;2 236 702 000;2 685 076 000;2 692 002 000;1 155 938 000;1 330 799 000;1 483 387 000;1 317 816 000;1 419 181 000;1 585 591 000;1 674 010 000;1 801 777 000;1 841 089 000;1 746 509 000;1 258 372 000;1 285 183 000;902 078 000;1 043 587 000;1 050 505 000;1 083 175 000;1 183 418 000;1 353 190 000;1 451 975 000;1 575 803 000;1 571 057 000;1 513 534 000;1 040 623 000;1 075 179 000;232 861 000;237 212 000;244 322 000;234 641 000;235 763 000;232 401 000;222 035 000;225 974 000;226 349 000;232 975 000;217 749 000;210 004 000;0;0;188 560 000;0;0;0;0;0;43 683 000;0;0;0;185 648 000;185 450 000;185 065 000;184 548 000;184 075 000;183 666 000;183 601 000;183 267 000;183 927 000;183 637 000;183 081 000;182 574 000;0;0;0;0;0;0;0;0;0;0;0;0
4;СИБЭС (АО), БАНК;208;"БАНК ""СИБЭС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";644007, Омская обл., г. Омск, ул. Рабиновича, д. 132/134 корп. - офис;Кузнецов Евгений Юрьевич;05.10.1998;20,5;;Ликвидируется;045209713;Омская область;Непубличные акционерные общества;Частная собственность;5 935 000;;Находится в стадии ликвидации от 23.10.2018, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.04.2017;2 406 850 000;2 494 867 000;2 467 828 000;2 581 845 000;2 639 607 000;2 628 771 000;2 707 467 000;2 737 858 000;2 753 283 000;2 754 705 000;2 462 984 000;2 323 826 000;38 478 000;68 898 000;55 849 000;59 601 000;55 597 000;56 176 000;57 007 000;59 588 000;60 561 000;46 735 000;68 776 000;45 862 000;2 915 000;32 601 000;12 200 000;15 243 000;5 757 000;69 681 000;72 862 000;61 543 000;50 648 000;3 048 000;3 175 000;3 652 000;126 563 000;126 411 000;76 547 000;47 029 000;46 073 000;46 199 000;46 604 000;45 661 000;45 926 000;46 201 000;75 799 000;76 488 000;1 923 044 000;1 930 486 000;1 939 383 000;2 041 918 000;2 147 861 000;2 080 664 000;2 145 856 000;2 191 418 000;2 356 747 000;2 392 832 000;2 081 672 000;1 951 491 000;459 431 000;481 480 000;471 096 000;451 292 000;444 589 000;430 011 000;421 176 000;412 021 000;491 461 000;483 555 000;381 704 000;367 464 000;147 105 000;140 103 000;245 803 000;422 987 000;617 329 000;601 367 000;707 554 000;750 777 000;798 956 000;853 173 000;833 388 000;752 115 000;180 000 000;120 000 000;60 000 000;60 000 000;40 000 000;60 000 000;30 000 000;40 000 000;95 000 000;135 000 000;0;0;124 358 000;128 947 000;128 749 000;124 913 000;120 992 000;121 002 000;122 903 000;122 791 000;122 632 000;96 589 000;96 006 000;95 907 000;79 326 000;80 347 000;30 473 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000;651 000
5;(ОАО УДМУРТИНВЕСТСТРОЙБАНК);2447;АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ УДМУРТСКИЙ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ БАНК (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО);426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;03.08.1993;25,5;;Ликвидируется;049401863;Удмуртская Республика;Публичные акционерные общества;Частная собственность;8 880 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 20.12.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ТРАНСИНВЕСТБАНК (ООО), КБ;3238;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММЕРЧЕСКИЙ БАНК ""ТРАНСПОРТНЫЙ ИНВЕСТИЦИОННЫЙ БАНК""";123104, г. Москва, пер. Палашёвский М, д. 5;Баушева Надежда Сергеевна;22.03.1995;24,0;;Ликвидируется;044525212;Москва;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;13 780 455;;Находится в стадии ликвидации от 28.03.2014, Решение о признании должника банкротом и открытии конкурсного производства от 11.11.2013;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;
7;СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА, ЗАО;3317;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО - НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА""";163000, Архангельская обл., г. Архангельск, проспект Советских Космонавтов, д. 52;Ребгун Елена Зиновьевна;09.02.1993;26,0;;Ликвидируется;041117309;Архангельская область;Непубличные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;15 835 000;;Находится в стадии ликвидации от 23.06.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 22.09.2014;551 527 000;513 688 000;517 137 000;451 440 000;430 932 000;379 331 000;362 059 000;;;;;;57 337 000;39 496 000;29 315 000;20 933 000;43 478 000;56 469 000;51 986 000;;;;;;216 986 000;189 137 000;198 836 000;175 687 000;137 126 000;82 311 000;62 092 000;;;;;;0;0;0;0;0;0;0;;;;;;157 969 000;162 974 000;170 152 000;131 487 000;130 756 000;124 582 000;118 305 000;;;;;;157 969 000;162 974 000;170 152 000;131 487 000;130 756 000;124 582 000;118 305 000;;;;;;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;;;;;;77 207 000;76 956 000;76 760 000;71 621 000;71 370 000;45 115 000;38 084 000;;;;;;0;0;0;0;0;0;0;;;;;
8;ИРЦ АО, РНКО;3447;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ИННОВАЦИОННЫЙ РАСЧЕТНЫЙ ЦЕНТР"" АКЦИОНЕРНОЕ ОБЩЕСТВО";121165, г. Москва, ул. Дунаевского, д. 4;Ребгун Эдуард Константинович;19.01.2010;9,0;;Ликвидируется;044525276;Москва;Непубличные акционерные общества;Частная собственность;16 600 000;;Находится в стадии ликвидации от 30.10.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте для расчётных небанковских кредитных организаций от 10.08.2018;46 076 000;45 647 000;39 612 000;37 222 000;33 170 000;32 274 000;33 832 000;33 388 000;39 132 000;39 345 000;32 629 000;29 544 000;2 152 000;1 021 000;1 733 000;6 469 000;1 117 000;5 930 000;3 241 000;3 397 000;1 201 000;9 915 000;1 555 000;3 645 000;27 120 000;24 031 000;17 088 000;16 043 000;13 514 000;13 369 000;11 880 000;12 043 000;19 855 000;11 454 000;22 408 000;21 558 000;0;0;0;0;0;0;0;0;0;0;0;0;4 000 000;8 100 000;8 100 000;2 000 000;6 000 000;0;5 310 000;5 310 000;5 310 000;5 350 000;5 350 000;925 000;4 000 000;8 100 000;8 100 000;2 000 000;6 000 000;0;5 310 000;5 310 000;5 310 000;5 350 000;5 350 000;925 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307 000;321 000;306 000;299 000;294 000;285 000;276 000;271 000;264 000;254 000;248 000;243 000;0;0;0;0;0;0;0;0;0;0;0;0
9;МБР-БАНК, АО КБ;2620;"КОММЕРЧЕСКИЙ БАНК ""МЕЖРЕГИОНАЛЬНЫЙ БАНК РЕКОНСТРУКЦИИ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";115184, г. Москва, ул. Ордынка Б, д. 59 корп. 2;Баушева Надежда Сергеевна;21.12.1993;25,0;;Ликвидируется;044525169;Москва;Непубличные акционерные общества;Частная собственность;17 455 000;;Находится в стадии ликвидации от 11.10.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 17.06.2016;451 523 000;475 544 000;422 495 000;477 357 000;507 515 000;502 089 000;541 632 000;511 257 000;558 693 000;572 745 000;605 160 000;666 525 000;152 787 000;144 322 000;93 108 000;154 888 000;185 577 000;155 707 000;183 031 000;148 070 000;84 869 000;157 043 000;143 235 000;215 423 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;70 012 000;6 297 000;40 297 000;40 297 000;0;0;0;0;0;0;0;0;0;0;0;0;252 870 000;283 737 000;281 283 000;270 782 000;266 722 000;297 844 000;305 827 000;300 294 000;292 405 000;295 035 000;299 020 000;293 951 000;213 203 000;246 466 000;245 601 000;236 689 000;236 970 000;260 317 000;275 331 000;271 445 000;265 202 000;269 479 000;275 111 000;271 689 000;39 667 000;37 271 000;35 682 000;34 093 000;29 752 000;37 527 000;30 496 000;28 849 000;27 203 000;25 556 000;23 909 000;22 262 000;0;0;0;0;0;0;0;0;0;0;0;0;575 000;539 000;504 000;485 000;519 000;499 000;478 000;499 000;632 000;610 000;595 000;583 000;0;0;0;0;0;0;0;0;0;0;0;0
10;РЦ ЭНЕРГОБИЗНЕС (ООО), РНКО;3485;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ ЦЕНТР ""ЭНЕРГОБИЗНЕС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105120, г. Москва, пер. Сыромятнический 3-Й, д. 3/9 корп. 1;Мащев Александр Борисович;24.06.2008;10,5;;Ликвидируется;044525252;Москва;Общества с ограниченной ответственностью;Частная собственность;18 000 000;;Находится в стадии ликвидации от 09.12.2016, Решение о признании должника банкротом и открытии конкурсного производства от 22.10.2016;194 053 000;;;;;;;;;;;;143 395 000;;;;;;;;;;;;1 000;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;2 075 000;;;;;;;;;;;;0;;;;;;;;;;;
