Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Комментарий;Важная информация;2013 - 2мес., Чистые активы, RUB;2013 - 3мес., Чистые активы, RUB;2013 - 4мес., Чистые активы, RUB;2013 - 5мес., Чистые активы, RUB;2013 - 6мес., Чистые активы, RUB;2013 - 7мес., Чистые активы, RUB;2013 - 8мес., Чистые активы, RUB;2013 - 9мес., Чистые активы, RUB;2013 - 10мес., Чистые активы, RUB;2013 - 11мес., Чистые активы, RUB;2013 - 12мес., Чистые активы, RUB;2014 - 1мес., Чистые активы, RUB;2013 - 2мес., Счета в Банке России, RUB;2013 - 3мес., Счета в Банке России, RUB;2013 - 4мес., Счета в Банке России, RUB;2013 - 5мес., Счета в Банке России, RUB;2013 - 6мес., Счета в Банке России, RUB;2013 - 7мес., Счета в Банке России, RUB;2013 - 8мес., Счета в Банке России, RUB;2013 - 9мес., Счета в Банке России, RUB;2013 - 10мес., Счета в Банке России, RUB;2013 - 11мес., Счета в Банке России, RUB;2013 - 12мес., Счета в Банке России, RUB;2014 - 1мес., Счета в Банке России, RUB;2013 - 2мес., Коррсчета (НОСТРО), RUB;2013 - 3мес., Коррсчета (НОСТРО), RUB;2013 - 4мес., Коррсчета (НОСТРО), RUB;2013 - 5мес., Коррсчета (НОСТРО), RUB;2013 - 6мес., Коррсчета (НОСТРО), RUB;2013 - 7мес., Коррсчета (НОСТРО), RUB;2013 - 8мес., Коррсчета (НОСТРО), RUB;2013 - 9мес., Коррсчета (НОСТРО), RUB;2013 - 10мес., Коррсчета (НОСТРО), RUB;2013 - 11мес., Коррсчета (НОСТРО), RUB;2013 - 12мес., Коррсчета (НОСТРО), RUB;2014 - 1мес., Коррсчета (НОСТРО), RUB;2013 - 2мес., Ценные бумаги, RUB;2013 - 3мес., Ценные бумаги, RUB;2013 - 4мес., Ценные бумаги, RUB;2013 - 5мес., Ценные бумаги, RUB;2013 - 6мес., Ценные бумаги, RUB;2013 - 7мес., Ценные бумаги, RUB;2013 - 8мес., Ценные бумаги, RUB;2013 - 9мес., Ценные бумаги, RUB;2013 - 10мес., Ценные бумаги, RUB;2013 - 11мес., Ценные бумаги, RUB;2013 - 12мес., Ценные бумаги, RUB;2014 - 1мес., Ценные бумаги, RUB;2013 - 2мес., Кредиты, RUB;2013 - 3мес., Кредиты, RUB;2013 - 4мес., Кредиты, RUB;2013 - 5мес., Кредиты, RUB;2013 - 6мес., Кредиты, RUB;2013 - 7мес., Кредиты, RUB;2013 - 8мес., Кредиты, RUB;2013 - 9мес., Кредиты, RUB;2013 - 10мес., Кредиты, RUB;2013 - 11мес., Кредиты, RUB;2013 - 12мес., Кредиты, RUB;2014 - 1мес., Кредиты, RUB;2013 - 2мес., Кредиты организациям, RUB;2013 - 3мес., Кредиты организациям, RUB;2013 - 4мес., Кредиты организациям, RUB;2013 - 5мес., Кредиты организациям, RUB;2013 - 6мес., Кредиты организациям, RUB;2013 - 7мес., Кредиты организациям, RUB;2013 - 8мес., Кредиты организациям, RUB;2013 - 9мес., Кредиты организациям, RUB;2013 - 10мес., Кредиты организациям, RUB;2013 - 11мес., Кредиты организациям, RUB;2013 - 12мес., Кредиты организациям, RUB;2014 - 1мес., Кредиты организациям, RUB;2013 - 2мес., Кредиты физическим лицам, RUB;2013 - 3мес., Кредиты физическим лицам, RUB;2013 - 4мес., Кредиты физическим лицам, RUB;2013 - 5мес., Кредиты физическим лицам, RUB;2013 - 6мес., Кредиты физическим лицам, RUB;2013 - 7мес., Кредиты физическим лицам, RUB;2013 - 8мес., Кредиты физическим лицам, RUB;2013 - 9мес., Кредиты физическим лицам, RUB;2013 - 10мес., Кредиты физическим лицам, RUB;2013 - 11мес., Кредиты физическим лицам, RUB;2013 - 12мес., Кредиты физическим лицам, RUB;2014 - 1мес., Кредиты физическим лицам, RUB;2013 - 2мес., Кредиты другим банкам (МБК), RUB;2013 - 3мес., Кредиты другим банкам (МБК), RUB;2013 - 4мес., Кредиты другим банкам (МБК), RUB;2013 - 5мес., Кредиты другим банкам (МБК), RUB;2013 - 6мес., Кредиты другим банкам (МБК), RUB;2013 - 7мес., Кредиты другим банкам (МБК), RUB;2013 - 8мес., Кредиты другим банкам (МБК), RUB;2013 - 9мес., Кредиты другим банкам (МБК), RUB;2013 - 10мес., Кредиты другим банкам (МБК), RUB;2013 - 11мес., Кредиты другим банкам (МБК), RUB;2013 - 12мес., Кредиты другим банкам (МБК), RUB;2014 - 1мес., Кредиты другим банкам (МБК), RUB;2013 - 2мес., Основные средства, RUB;2013 - 3мес., Основные средства, RUB;2013 - 4мес., Основные средства, RUB;2013 - 5мес., Основные средства, RUB;2013 - 6мес., Основные средства, RUB;2013 - 7мес., Основные средства, RUB;2013 - 8мес., Основные средства, RUB;2013 - 9мес., Основные средства, RUB;2013 - 10мес., Основные средства, RUB;2013 - 11мес., Основные средства, RUB;2013 - 12мес., Основные средства, RUB;2014 - 1мес., Основные средства, RUB;2013 - 2мес., Учтённые векселя, RUB;2013 - 3мес., Учтённые векселя, RUB;2013 - 4мес., Учтённые векселя, RUB;2013 - 5мес., Учтённые векселя, RUB;2013 - 6мес., Учтённые векселя, RUB;2013 - 7мес., Учтённые векселя, RUB;2013 - 8мес., Учтённые векселя, RUB;2013 - 9мес., Учтённые векселя, RUB;2013 - 10мес., Учтённые векселя, RUB;2013 - 11мес., Учтённые векселя, RUB;2013 - 12мес., Учтённые векселя, RUB;2014 - 1мес., Учтённые векселя, RUB
1;ГАГАРИНСКИЙ (АО), КБ;606;"КОММЕРЧЕСКИЙ БАНК ""ГАГАРИНСКИЙ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";119361, г. Москва, пер. Очаковский 2-Й, д. 7;Хализев Александр Викторович;26.10.1990;28,0;;Ликвидируется;044525429;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей федеральной собственности;27 605;;Находится в стадии ликвидации от 23.11.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 03.07.2015;2 592 152 000;2 514 266 000;2 393 085 000;2 600 960 000;2 790 351 000;2 510 164 000;2 511 258 000;2 765 733 000;2 803 632 000;2 934 305 000;2 862 765 000;2 921 009 000;365 351 000;332 352 000;127 266 000;343 018 000;558 246 000;207 189 000;221 026 000;244 702 000;313 863 000;537 815 000;605 574 000;599 025 000;138 816 000;182 917 000;198 111 000;277 439 000;207 948 000;206 251 000;251 338 000;266 591 000;273 328 000;312 270 000;365 279 000;391 455 000;501 906 000;493 565 000;494 129 000;495 699 000;497 452 000;483 461 000;526 649 000;528 513 000;576 104 000;578 393 000;536 184 000;579 790 000;1 338 799 000;1 307 221 000;1 383 437 000;1 309 176 000;1 344 429 000;1 363 447 000;1 343 255 000;1 549 848 000;1 444 058 000;1 273 036 000;1 155 064 000;1 157 717 000;927 428 000;961 514 000;1 020 989 000;1 055 649 000;1 068 536 000;1 035 118 000;1 024 272 000;1 041 794 000;955 744 000;1 011 702 000;937 727 000;949 032 000;154 615 000;158 739 000;163 185 000;171 230 000;182 821 000;179 438 000;191 726 000;181 290 000;196 570 000;208 338 000;168 408 000;161 899 000;165 000 000;100 000 000;110 000 000;0;15 000 000;75 000 000;60 000 000;265 000 000;235 000 000;0;0;0;51 910 000;51 828 000;51 917 000;51 679 000;51 744 000;52 162 000;28 598 000;28 685 000;40 492 000;40 501 000;40 471 000;40 141 000;0;0;0;0;0;0;0;0;0;0;0;0
2;УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК, ОАО;2523;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК""";426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;05.10.1993;25,5;;Ликвидируется;049401869;Удмуртская Республика;Публичные акционерные общества;Смешанная российская собственность с долей федеральной собственности;100 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 12.07.2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;БАНК СБРР (ООО);1284;СИБИРСКИЙ БАНК РЕКОНСТРУКЦИИ И РАЗВИТИЯ (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ);625003, Тюменская обл., г. Тюмень, ул. Клары Цеткин, д. 61 корп. 1/2;Сергеев Андрей Николаевич;25.12.1990;28,0;;Ликвидируется;047102804;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;1 676 700;;Находится в стадии ликвидации от 07.11.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 06.02.2018;2 535 508 000;2 414 328 000;2 339 601 000;2 531 915 000;2 495 332 000;2 695 053 000;2 751 234 000;2 722 856 000;2 993 292 000;3 349 138 000;3 579 068 000;3 988 481 000;189 429 000;66 230 000;95 969 000;102 797 000;107 483 000;345 745 000;255 821 000;225 766 000;184 985 000;390 683 000;187 755 000;150 007 000;182 000;2 163 000;2 107 000;2 118 000;2 284 000;5 199 000;205 598 000;5 421 000;5 414 000;6 578 000;265 514 000;5 633 000;498 775 000;385 691 000;400 885 000;541 000 000;604 672 000;678 754 000;685 106 000;773 985 000;928 140 000;1 278 756 000;1 506 819 000;2 385 879 000;1 581 793 000;1 690 187 000;1 583 170 000;1 600 684 000;1 496 098 000;1 384 990 000;1 318 726 000;1 425 495 000;1 601 337 000;1 388 558 000;1 365 350 000;1 170 650 000;1 328 557 000;1 443 705 000;1 337 898 000;1 340 257 000;1 245 963 000;1 146 387 000;1 082 293 000;1 188 828 000;1 215 777 000;1 151 947 000;1 133 836 000;944 748 000;253 236 000;246 482 000;245 272 000;260 427 000;250 135 000;238 603 000;236 433 000;236 667 000;235 560 000;236 611 000;231 514 000;225 902 000;0;0;0;0;0;0;0;0;150 000 000;0;0;0;179 210 000;183 346 000;182 947 000;183 147 000;187 840 000;187 437 000;186 996 000;186 540 000;186 236 000;186 298 000;186 343 000;185 884 000;18 872 000;18 890 000;18 908 000;0;0;19 930 000;0;0;0;0;0;0
4;СИБЭС (АО), БАНК;208;"БАНК ""СИБЭС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";644007, Омская обл., г. Омск, ул. Рабиновича, д. 132/134 корп. - офис;Кузнецов Евгений Юрьевич;05.10.1998;20,5;;Ликвидируется;045209713;Омская область;Непубличные акционерные общества;Частная собственность;5 935 000;;Находится в стадии ликвидации от 23.10.2018, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.04.2017;1 231 161 000;1 165 483 000;1 183 549 000;1 215 877 000;1 356 884 000;1 351 541 000;1 538 326 000;1 588 314 000;1 654 631 000;1 999 747 000;2 124 792 000;2 453 690 000;47 302 000;35 878 000;19 573 000;9 859 000;21 766 000;31 330 000;30 128 000;30 589 000;39 934 000;23 737 000;56 889 000;55 605 000;2 396 000;2 446 000;2 300 000;31 264 000;43 382 000;6 782 000;88 244 000;15 034 000;4 788 000;60 564 000;11 400 000;56 100 000;267 048 000;243 145 000;255 176 000;261 541 000;232 332 000;192 091 000;166 510 000;142 149 000;134 168 000;109 912 000;83 642 000;131 113 000;784 056 000;780 671 000;786 637 000;784 415 000;929 495 000;976 865 000;1 104 140 000;1 255 623 000;1 230 337 000;1 491 474 000;1 581 041 000;1 767 971 000;406 450 000;398 171 000;398 519 000;385 883 000;390 187 000;390 724 000;412 484 000;418 518 000;416 442 000;430 319 000;447 249 000;438 919 000;137 106 000;142 000 000;147 618 000;158 032 000;158 808 000;166 350 000;165 746 000;166 472 000;167 192 000;145 296 000;143 316 000;145 686 000;240 500 000;240 500 000;240 500 000;240 500 000;280 500 000;220 500 000;130 500 000;120 500 000;150 500 000;150 500 000;60 000 000;180 000 000;88 240 000;75 384 000;75 286 000;80 209 000;80 161 000;83 543 000;82 515 000;26 702 000;30 368 000;30 587 000;124 045 000;122 804 000;135 937 000;163 865 000;175 244 000;181 842 000;154 923 000;143 885 000;118 078 000;94 724 000;86 416 000;61 966 000;36 806 000;84 225 000
5;(ОАО УДМУРТИНВЕСТСТРОЙБАНК);2447;АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ УДМУРТСКИЙ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ БАНК (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО);426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;03.08.1993;25,5;;Ликвидируется;049401863;Удмуртская Республика;Публичные акционерные общества;Частная собственность;8 880 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 20.12.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ТРАНСИНВЕСТБАНК (ООО), КБ;3238;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММЕРЧЕСКИЙ БАНК ""ТРАНСПОРТНЫЙ ИНВЕСТИЦИОННЫЙ БАНК""";123104, г. Москва, пер. Палашёвский М, д. 5;Баушева Надежда Сергеевна;22.03.1995;24,0;;Ликвидируется;044525212;Москва;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;13 780 455;;Находится в стадии ликвидации от 28.03.2014, Решение о признании должника банкротом и открытии конкурсного производства от 11.11.2013;1 738 002 000;1 734 227 000;1 826 667 000;1 828 126 000;2 001 092 000;1 949 231 000;1 913 691 000;;;;;;199 176 000;96 277 000;189 460 000;188 813 000;91 589 000;53 497 000;42 497 000;0;0;0;0;0;29 959 000;38 685 000;43 092 000;36 735 000;36 998 000;5 613 000;5 727 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 364 612 000;1 477 552 000;1 489 981 000;1 492 316 000;1 779 237 000;1 796 207 000;1 759 319 000;0;0;0;0;0;895 854 000;1 015 934 000;1 015 965 000;1 026 023 000;1 314 719 000;1 345 272 000;1 340 514 000;0;0;0;0;0;411 461 000;404 287 000;416 672 000;408 924 000;407 065 000;393 468 000;361 312 000;0;0;0;0;0;2 297 000;2 331 000;2 344 000;2 369 000;2 453 000;2 467 000;2 493 000;0;0;0;0;0;7 380 000;8 575 000;9 490 000;9 965 000;7 095 000;7 128 000;7 214 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА, ЗАО;3317;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО - НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА""";163000, Архангельская обл., г. Архангельск, проспект Советских Космонавтов, д. 52;Ребгун Елена Зиновьевна;09.02.1993;26,0;;Ликвидируется;041117309;Архангельская область;Непубличные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;15 835 000;;Находится в стадии ликвидации от 23.06.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 22.09.2014;496 624 000;504 464 000;512 640 000;581 912 000;555 638 000;540 947 000;558 535 000;545 213 000;527 184 000;512 884 000;570 904 000;548 010 000;41 286 000;20 877 000;30 836 000;54 332 000;66 607 000;31 061 000;24 707 000;48 293 000;37 236 000;24 702 000;25 564 000;25 443 000;195 592 000;206 089 000;209 525 000;249 858 000;220 899 000;239 484 000;260 440 000;238 179 000;237 769 000;217 197 000;273 310 000;243 733 000;0;0;0;0;0;0;0;0;0;0;0;0;159 663 000;176 743 000;169 939 000;177 035 000;163 947 000;170 977 000;168 780 000;155 045 000;134 759 000;160 327 000;159 895 000;156 298 000;159 663 000;176 743 000;169 939 000;177 035 000;163 947 000;170 977 000;167 445 000;155 045 000;134 759 000;160 327 000;159 895 000;156 298 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64 957 000;65 727 000;65 456 000;65 272 000;65 300 000;65 006 000;64 761 000;64 577 000;73 037 000;70 487 000;70 338 000;76 857 000;0;0;0;0;0;0;0;0;0;0;0;0
8;ИРЦ АО, РНКО;3447;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ИННОВАЦИОННЫЙ РАСЧЕТНЫЙ ЦЕНТР"" АКЦИОНЕРНОЕ ОБЩЕСТВО";121165, г. Москва, ул. Дунаевского, д. 4;Ребгун Эдуард Константинович;19.01.2010;9,0;;Ликвидируется;044525276;Москва;Непубличные акционерные общества;Частная собственность;16 600 000;;Находится в стадии ликвидации от 30.10.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте для расчётных небанковских кредитных организаций от 10.08.2018;95 448 000;169 859 000;128 018 000;105 795 000;75 440 000;116 907 000;95 876 000;66 178 000;53 442 000;52 692 000;68 672 000;45 828 000;16 185 000;16 066 000;15 299 000;9 957 000;5 144 000;3 230 000;21 050 000;3 140 000;2 541 000;3 313 000;4 271 000;3 432 000;65 160 000;140 952 000;97 519 000;80 313 000;53 018 000;92 348 000;51 605 000;40 010 000;31 716 000;27 083 000;43 708 000;15 400 000;0;0;0;0;0;0;0;0;0;0;0;0;1 241 000;250 000;2 300 000;2 300 000;4 030 000;8 000 000;10 000 000;9 600 000;6 650 000;9 650 000;8 000 000;14 100 000;1 241 000;250 000;2 300 000;2 300 000;4 030 000;8 000 000;10 000 000;9 600 000;6 650 000;9 650 000;8 000 000;14 100 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263 000;257 000;255 000;253 000;249 000;628 000;657 000;637 000;263 000;254 000;248 000;306 000;0;0;0;0;0;0;0;0;0;0;0;0
9;МБР-БАНК, АО КБ;2620;"КОММЕРЧЕСКИЙ БАНК ""МЕЖРЕГИОНАЛЬНЫЙ БАНК РЕКОНСТРУКЦИИ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";115184, г. Москва, ул. Ордынка Б, д. 59 корп. 2;Баушева Надежда Сергеевна;21.12.1993;25,0;;Ликвидируется;044525169;Москва;Непубличные акционерные общества;Частная собственность;17 455 000;;Находится в стадии ликвидации от 11.10.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 17.06.2016;405 237 000;413 442 000;409 898 000;444 531 000;417 256 000;458 360 000;416 508 000;456 398 000;417 494 000;558 710 000;538 815 000;552 054 000;137 369 000;116 340 000;106 996 000;127 151 000;103 891 000;152 050 000;143 456 000;152 423 000;126 776 000;237 085 000;227 282 000;251 957 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;12 000;0;0;0;0;0;0;0;2 000 000;2 500 000;2 506 000;0;0;217 215 000;244 379 000;253 903 000;265 221 000;258 436 000;257 226 000;221 923 000;248 638 000;238 928 000;268 937 000;261 188 000;254 881 000;159 073 000;188 258 000;199 803 000;204 143 000;203 800 000;204 364 000;171 021 000;199 325 000;191 203 000;222 801 000;216 641 000;213 570 000;58 142 000;56 121 000;54 100 000;61 078 000;54 636 000;52 862 000;50 902 000;49 313 000;47 725 000;46 136 000;44 547 000;41 311 000;0;0;0;0;0;0;0;0;0;0;0;0;1 166 000;1 164 000;1 128 000;1 124 000;1 114 000;835 000;796 000;755 000;766 000;827 000;648 000;613 000;0;0;0;0;0;0;0;2 000 000;2 500 000;2 506 000;0;0
10;РЦ ЭНЕРГОБИЗНЕС (ООО), РНКО;3485;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ ЦЕНТР ""ЭНЕРГОБИЗНЕС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105120, г. Москва, пер. Сыромятнический 3-Й, д. 3/9 корп. 1;Мащев Александр Борисович;24.06.2008;10,5;;Ликвидируется;044525252;Москва;Общества с ограниченной ответственностью;Частная собственность;18 000 000;;Находится в стадии ликвидации от 09.12.2016, Решение о признании должника банкротом и открытии конкурсного производства от 22.10.2016;302 604 000;530 894 000;536 460 000;638 936 000;271 086 000;112 355 000;91 730 000;79 764 000;67 035 000;77 125 000;67 013 000;107 006 000;173 562 000;464 897 000;409 251 000;497 247 000;208 626 000;76 612 000;50 615 000;16 113 000;4 250 000;14 897 000;8 594 000;54 474 000;104 221 000;5 041 000;12 204 000;75 133 000;9 204 000;7 224 000;4 899 000;34 953 000;23 856 000;26 008 000;23 997 000;1 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 637 000;6 421 000;5 244 000;6 306 000;4 328 000;4 395 000;4 334 000;4 205 000;4 080 000;2 248 000;2 174 000;2 148 000;0;0;0;0;0;0;0;0;0;0;0;0
