Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Важная информация;2015 - 2мес., Чистые активы, RUB;2015 - 3мес., Чистые активы, RUB;2015 - 4мес., Чистые активы, RUB;2015 - 5мес., Чистые активы, RUB;2015 - 6мес., Чистые активы, RUB;2015 - 7мес., Чистые активы, RUB;2015 - 8мес., Чистые активы, RUB;2015 - 9мес., Чистые активы, RUB;2015 - 10мес., Чистые активы, RUB;2015 - 11мес., Чистые активы, RUB;2015 - 12мес., Чистые активы, RUB;2016 - 1мес., Чистые активы, RUB;2015 - 2мес., Счета в Банке России, RUB;2015 - 3мес., Счета в Банке России, RUB;2015 - 4мес., Счета в Банке России, RUB;2015 - 5мес., Счета в Банке России, RUB;2015 - 6мес., Счета в Банке России, RUB;2015 - 7мес., Счета в Банке России, RUB;2015 - 8мес., Счета в Банке России, RUB;2015 - 9мес., Счета в Банке России, RUB;2015 - 10мес., Счета в Банке России, RUB;2015 - 11мес., Счета в Банке России, RUB;2015 - 12мес., Счета в Банке России, RUB;2016 - 1мес., Счета в Банке России, RUB;2015 - 2мес., Коррсчета (НОСТРО), RUB;2015 - 3мес., Коррсчета (НОСТРО), RUB;2015 - 4мес., Коррсчета (НОСТРО), RUB;2015 - 5мес., Коррсчета (НОСТРО), RUB;2015 - 6мес., Коррсчета (НОСТРО), RUB;2015 - 7мес., Коррсчета (НОСТРО), RUB;2015 - 8мес., Коррсчета (НОСТРО), RUB;2015 - 9мес., Коррсчета (НОСТРО), RUB;2015 - 10мес., Коррсчета (НОСТРО), RUB;2015 - 11мес., Коррсчета (НОСТРО), RUB;2015 - 12мес., Коррсчета (НОСТРО), RUB;2016 - 1мес., Коррсчета (НОСТРО), RUB;2015 - 2мес., Ценные бумаги, RUB;2015 - 3мес., Ценные бумаги, RUB;2015 - 4мес., Ценные бумаги, RUB;2015 - 5мес., Ценные бумаги, RUB;2015 - 6мес., Ценные бумаги, RUB;2015 - 7мес., Ценные бумаги, RUB;2015 - 8мес., Ценные бумаги, RUB;2015 - 9мес., Ценные бумаги, RUB;2015 - 10мес., Ценные бумаги, RUB;2015 - 11мес., Ценные бумаги, RUB;2015 - 12мес., Ценные бумаги, RUB;2016 - 1мес., Ценные бумаги, RUB;2015 - 2мес., Кредиты, RUB;2015 - 3мес., Кредиты, RUB;2015 - 4мес., Кредиты, RUB;2015 - 5мес., Кредиты, RUB;2015 - 6мес., Кредиты, RUB;2015 - 7мес., Кредиты, RUB;2015 - 8мес., Кредиты, RUB;2015 - 9мес., Кредиты, RUB;2015 - 10мес., Кредиты, RUB;2015 - 11мес., Кредиты, RUB;2015 - 12мес., Кредиты, RUB;2016 - 1мес., Кредиты, RUB;2015 - 2мес., Кредиты организациям, RUB;2015 - 3мес., Кредиты организациям, RUB;2015 - 4мес., Кредиты организациям, RUB;2015 - 5мес., Кредиты организациям, RUB;2015 - 6мес., Кредиты организациям, RUB;2015 - 7мес., Кредиты организациям, RUB;2015 - 8мес., Кредиты организациям, RUB;2015 - 9мес., Кредиты организациям, RUB;2015 - 10мес., Кредиты организациям, RUB;2015 - 11мес., Кредиты организациям, RUB;2015 - 12мес., Кредиты организациям, RUB;2016 - 1мес., Кредиты организациям, RUB;2015 - 2мес., Кредиты физическим лицам, RUB;2015 - 3мес., Кредиты физическим лицам, RUB;2015 - 4мес., Кредиты физическим лицам, RUB;2015 - 5мес., Кредиты физическим лицам, RUB;2015 - 6мес., Кредиты физическим лицам, RUB;2015 - 7мес., Кредиты физическим лицам, RUB;2015 - 8мес., Кредиты физическим лицам, RUB;2015 - 9мес., Кредиты физическим лицам, RUB;2015 - 10мес., Кредиты физическим лицам, RUB;2015 - 11мес., Кредиты физическим лицам, RUB;2015 - 12мес., Кредиты физическим лицам, RUB;2016 - 1мес., Кредиты физическим лицам, RUB;2015 - 2мес., Кредиты другим банкам (МБК), RUB;2015 - 3мес., Кредиты другим банкам (МБК), RUB;2015 - 4мес., Кредиты другим банкам (МБК), RUB;2015 - 5мес., Кредиты другим банкам (МБК), RUB;2015 - 6мес., Кредиты другим банкам (МБК), RUB;2015 - 7мес., Кредиты другим банкам (МБК), RUB;2015 - 8мес., Кредиты другим банкам (МБК), RUB;2015 - 9мес., Кредиты другим банкам (МБК), RUB;2015 - 10мес., Кредиты другим банкам (МБК), RUB;2015 - 11мес., Кредиты другим банкам (МБК), RUB;2015 - 12мес., Кредиты другим банкам (МБК), RUB;2016 - 1мес., Кредиты другим банкам (МБК), RUB;2015 - 2мес., Основные средства, RUB;2015 - 3мес., Основные средства, RUB;2015 - 4мес., Основные средства, RUB;2015 - 5мес., Основные средства, RUB;2015 - 6мес., Основные средства, RUB;2015 - 7мес., Основные средства, RUB;2015 - 8мес., Основные средства, RUB;2015 - 9мес., Основные средства, RUB;2015 - 10мес., Основные средства, RUB;2015 - 11мес., Основные средства, RUB;2015 - 12мес., Основные средства, RUB;2016 - 1мес., Основные средства, RUB;2015 - 2мес., Учтённые векселя, RUB;2015 - 3мес., Учтённые векселя, RUB;2015 - 4мес., Учтённые векселя, RUB;2015 - 5мес., Учтённые векселя, RUB;2015 - 6мес., Учтённые векселя, RUB;2015 - 7мес., Учтённые векселя, RUB;2015 - 8мес., Учтённые векселя, RUB;2015 - 9мес., Учтённые векселя, RUB;2015 - 10мес., Учтённые векселя, RUB;2015 - 11мес., Учтённые векселя, RUB;2015 - 12мес., Учтённые векселя, RUB;2016 - 1мес., Учтённые векселя, RUB
1;СИБКОНТАКТ, ОАО КБ;1915;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""СИБКОНТАКТ""";628181, Ханты-Мансийский Автономный Округ - Югра окр, г. Нягань, микрорайон 2, д. 32;Пастушенко Дмитрий Сергеевич;17.06.1992;26,5;26.12.2017;Недействующая;;Тюменская область;Публичные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;600 000 000;Ликвидировано вследствие банкротства от 26.12.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 20.11.2008, Решение о признании должника банкротом и открытии конкурсного производства от 12.01.2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;МОСКОВСКИЙ КАПИТАЛ (ООО), КБ;3044;"КОММЕРЧЕСКИЙ БАНК ""МОСКОВСКИЙ КАПИТАЛ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105318, г. Москва, ул. Ткацкая, д. 15 корп. 1;Бельков Андрей Олегович;10.08.1994;24,5;05.07.2017;Недействующая;044545150;Москва;Общества с ограниченной ответственностью;Частная собственность;1 415 000 000;Ликвидировано вследствие банкротства от 05.07.2017, Отозвана Генеральная лицензия на осуществление банковских операций от 02.02.2009, Решение о признании должника банкротом и открытии конкурсного производства от 30.04.2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;РАДИАН (ОАО), АКБ;1675;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""РАДИАН"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";664047, Иркутская обл, г. Иркутск, ул. Советская, д. 3;Кузнецов Евгений Юрьевич;20.12.1991;27,0;03.07.2017;Недействующая;042520827;Иркутская область;Публичные акционерные общества;Иная смешанная российская собственность;130 000 000;Ликвидировано по решению суда от 03.07.2017, Решение о признании должника банкротом и открытии конкурсного производства от 09.07.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;БИНБАНК СТОЛИЦА, АО;3052;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИНБАНК СТОЛИЦА""";127051, г. Москва, пл. Сухаревская М, д. 12(Торгово-офисный центр «Садовая галерея»);Юрин Дмитрий Александрович;18.08.1995;23,5;24.03.2017;Недействующая;044525669;Москва;Непубличные акционерные общества;Частная собственность;515 000 000;Прекратило деятельность при присоединении от 24.03.2017, Сообщения о принятии решения о реорганизации от 07.10.2016;6 631 868 000;6 223 970 000;6 100 009 000;5 785 583 000;5 454 148 000;5 448 362 000;5 195 397 000;5 012 690 000;4 979 629 000;4 620 795 000;4 700 211 000;4 448 292 000;121 050 000;107 916 000;288 362 000;96 280 000;109 228 000;76 237 000;91 949 000;61 226 000;53 914 000;346 147 000;40 433 000;89 817 000;93 132 000;33 967 000;35 469 000;34 314 000;32 141 000;34 303 000;41 895 000;33 213 000;36 175 000;26 353 000;77 090 000;89 531 000;0;0;0;0;0;0;0;0;0;0;196 956 000;0;6 147 752 000;5 826 980 000;5 530 448 000;5 420 525 000;5 090 999 000;5 113 429 000;4 849 521 000;4 710 139 000;4 679 249 000;4 039 607 000;4 172 662 000;3 873 858 000;497 000;473 000;450 000;450 000;402 000;377 000;377 000;327 000;302 000;276 000;250 000;224 000;5 747 252 000;5 496 504 000;5 279 995 000;5 070 072 000;4 840 594 000;4 613 049 000;4 399 141 000;4 209 809 000;4 078 944 000;3 939 328 000;3 782 409 000;3 673 631 000;400 000 000;330 000 000;250 000 000;350 000 000;250 000 000;500 000 000;450 000 000;500 000 000;600 000 000;100 000 000;390 000 000;200 000 000;24 326 000;24 260 000;23 707 000;24 745 000;23 873 000;23 764 000;22 168 000;23 224 000;22 553 000;18 361 000;18 148 000;101 568 000;0;0;0;0;0;0;0;0;0;0;0;0
5;ЗЕЛЕНОКУМСКАЯ АО, НКО;1239;"НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ЗЕЛЕНОКУМСКАЯ"" АКЦИОНЕРНОЕ ОБЩЕСТВО";357910, Ставропольский кр, Советский район, г. Зеленокумск, ул. Учительская, д. 3;Лоза Александр Иванович;20.12.1990;28,0;19.04.2017;Недействующая;040717713;Ставропольский край;Публичные акционерные общества;Частная собственность;90 000 000;Ликвидировано от 19.04.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 03.08.2015;123 574 000;124 217 000;124 101 000;125 032 000;125 423 000;125 547 000;;;;;;;55 121 000;1 701 000;1 959 000;7 706 000;8 581 000;10 145 000;;;;;;;0;0;0;0;0;0;;;;;;;0;26 041 000;26 247 000;26 459 000;27 066 000;27 251 000;;;;;;;66 819 000;94 841 000;94 270 000;89 270 000;87 830 000;86 412 000;;;;;;;58 531 000;60 198 000;56 269 000;55 806 000;54 931 000;54 044 000;;;;;;;8 288 000;7 643 000;7 001 000;6 464 000;5 899 000;5 368 000;;;;;;;0;27 000 000;31 000 000;27 000 000;27 000 000;27 000 000;;;;;;;337 000;330 000;319 000;311 000;301 000;302 000;;;;;;;0;26 041 000;26 247 000;26 459 000;27 066 000;27 251 000;;;;;;
6;РБЦ (ООО), РНКО;3487;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ БАНКОВСКИЙ ЦЕНТР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115035, г. Москва, набережная Овчинниковская, д. 22/24 стр. 1;Перунов Сергей Владимирович;07.07.2008;10,5;30.12.2015;Недействующая;044552422;Москва;Общества с ограниченной ответственностью;Частная собственность;108 500 000;Ликвидировано по решению суда от 30.12.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 18.08.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;НРК, ООО;3386;"НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНАЯ РАСЧЕТНАЯ КОМПАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";119313, г. Москва, проспект Ленинский, д. 89/2;Волков Виталий Александрович;05.11.2001;17,0;27.10.2015;Недействующая;044579980;Москва;Общества с ограниченной ответственностью;Частная собственность;7 000 000;Ликвидировано по решению суда от 27.10.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ЕВРОСОЮЗ (ООО), КБ;3411;"КОММЕРЧЕСКИЙ БАНК ""ЕВРОСОЮЗ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115054, г. Москва, ул. Зацепа, д. 27;Хамчич Максим Александрович;28.05.2002;16,5;08.08.2016;Недействующая;044579418;Москва;Общества с ограниченной ответственностью;Частная собственность;82 000 000;Ликвидировано вследствие банкротства от 08.08.2016, Отозвана Генеральная лицензия на осуществление банковских операций от 26.08.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ТРОЙКА (ОАО), АКБ;2051;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ТРОЙКА""";107031, г. Москва, пер. Звонарский, д. 1 корп. 1;Баклицкий Денис Николаевич;09.09.1992;26,5;03.09.2015;Недействующая;044585239;Москва;Публичные акционерные общества;Частная собственность;31 900 000;Ликвидировано вследствие банкротства от 03.09.2015, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 21.10.2010, Решение о признании должника банкротом и открытии конкурсного производства от 23.12.2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ, ООО КБ;684;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК""";628400, Ханты-Мансийский Автономный Округ - Югра окр., г. Сургут, ул. Энгельса, д. 12;Красников Владимир Михайлович;01.11.1990;28,0;27.12.2016;Недействующая;047144860;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;126 547 500;Ликвидировано от 27.12.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 11.02.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
