Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Важная информация;2016 - 2мес., Чистые активы, RUB;2016 - 3мес., Чистые активы, RUB;2016 - 4мес., Чистые активы, RUB;2016 - 5мес., Чистые активы, RUB;2016 - 6мес., Чистые активы, RUB;2016 - 7мес., Чистые активы, RUB;2016 - 8мес., Чистые активы, RUB;2016 - 9мес., Чистые активы, RUB;2016 - 10мес., Чистые активы, RUB;2016 - 11мес., Чистые активы, RUB;2016 - 12мес., Чистые активы, RUB;2017 - 1мес., Чистые активы, RUB;2016 - 2мес., Счета в Банке России, RUB;2016 - 3мес., Счета в Банке России, RUB;2016 - 4мес., Счета в Банке России, RUB;2016 - 5мес., Счета в Банке России, RUB;2016 - 6мес., Счета в Банке России, RUB;2016 - 7мес., Счета в Банке России, RUB;2016 - 8мес., Счета в Банке России, RUB;2016 - 9мес., Счета в Банке России, RUB;2016 - 10мес., Счета в Банке России, RUB;2016 - 11мес., Счета в Банке России, RUB;2016 - 12мес., Счета в Банке России, RUB;2017 - 1мес., Счета в Банке России, RUB;2016 - 2мес., Коррсчета (НОСТРО), RUB;2016 - 3мес., Коррсчета (НОСТРО), RUB;2016 - 4мес., Коррсчета (НОСТРО), RUB;2016 - 5мес., Коррсчета (НОСТРО), RUB;2016 - 6мес., Коррсчета (НОСТРО), RUB;2016 - 7мес., Коррсчета (НОСТРО), RUB;2016 - 8мес., Коррсчета (НОСТРО), RUB;2016 - 9мес., Коррсчета (НОСТРО), RUB;2016 - 10мес., Коррсчета (НОСТРО), RUB;2016 - 11мес., Коррсчета (НОСТРО), RUB;2016 - 12мес., Коррсчета (НОСТРО), RUB;2017 - 1мес., Коррсчета (НОСТРО), RUB;2016 - 2мес., Ценные бумаги, RUB;2016 - 3мес., Ценные бумаги, RUB;2016 - 4мес., Ценные бумаги, RUB;2016 - 5мес., Ценные бумаги, RUB;2016 - 6мес., Ценные бумаги, RUB;2016 - 7мес., Ценные бумаги, RUB;2016 - 8мес., Ценные бумаги, RUB;2016 - 9мес., Ценные бумаги, RUB;2016 - 10мес., Ценные бумаги, RUB;2016 - 11мес., Ценные бумаги, RUB;2016 - 12мес., Ценные бумаги, RUB;2017 - 1мес., Ценные бумаги, RUB;2016 - 2мес., Кредиты, RUB;2016 - 3мес., Кредиты, RUB;2016 - 4мес., Кредиты, RUB;2016 - 5мес., Кредиты, RUB;2016 - 6мес., Кредиты, RUB;2016 - 7мес., Кредиты, RUB;2016 - 8мес., Кредиты, RUB;2016 - 9мес., Кредиты, RUB;2016 - 10мес., Кредиты, RUB;2016 - 11мес., Кредиты, RUB;2016 - 12мес., Кредиты, RUB;2017 - 1мес., Кредиты, RUB;2016 - 2мес., Кредиты организациям, RUB;2016 - 3мес., Кредиты организациям, RUB;2016 - 4мес., Кредиты организациям, RUB;2016 - 5мес., Кредиты организациям, RUB;2016 - 6мес., Кредиты организациям, RUB;2016 - 7мес., Кредиты организациям, RUB;2016 - 8мес., Кредиты организациям, RUB;2016 - 9мес., Кредиты организациям, RUB;2016 - 10мес., Кредиты организациям, RUB;2016 - 11мес., Кредиты организациям, RUB;2016 - 12мес., Кредиты организациям, RUB;2017 - 1мес., Кредиты организациям, RUB;2016 - 2мес., Кредиты физическим лицам, RUB;2016 - 3мес., Кредиты физическим лицам, RUB;2016 - 4мес., Кредиты физическим лицам, RUB;2016 - 5мес., Кредиты физическим лицам, RUB;2016 - 6мес., Кредиты физическим лицам, RUB;2016 - 7мес., Кредиты физическим лицам, RUB;2016 - 8мес., Кредиты физическим лицам, RUB;2016 - 9мес., Кредиты физическим лицам, RUB;2016 - 10мес., Кредиты физическим лицам, RUB;2016 - 11мес., Кредиты физическим лицам, RUB;2016 - 12мес., Кредиты физическим лицам, RUB;2017 - 1мес., Кредиты физическим лицам, RUB;2016 - 2мес., Кредиты другим банкам (МБК), RUB;2016 - 3мес., Кредиты другим банкам (МБК), RUB;2016 - 4мес., Кредиты другим банкам (МБК), RUB;2016 - 5мес., Кредиты другим банкам (МБК), RUB;2016 - 6мес., Кредиты другим банкам (МБК), RUB;2016 - 7мес., Кредиты другим банкам (МБК), RUB;2016 - 8мес., Кредиты другим банкам (МБК), RUB;2016 - 9мес., Кредиты другим банкам (МБК), RUB;2016 - 10мес., Кредиты другим банкам (МБК), RUB;2016 - 11мес., Кредиты другим банкам (МБК), RUB;2016 - 12мес., Кредиты другим банкам (МБК), RUB;2017 - 1мес., Кредиты другим банкам (МБК), RUB;2016 - 2мес., Основные средства, RUB;2016 - 3мес., Основные средства, RUB;2016 - 4мес., Основные средства, RUB;2016 - 5мес., Основные средства, RUB;2016 - 6мес., Основные средства, RUB;2016 - 7мес., Основные средства, RUB;2016 - 8мес., Основные средства, RUB;2016 - 9мес., Основные средства, RUB;2016 - 10мес., Основные средства, RUB;2016 - 11мес., Основные средства, RUB;2016 - 12мес., Основные средства, RUB;2017 - 1мес., Основные средства, RUB;2016 - 2мес., Учтённые векселя, RUB;2016 - 3мес., Учтённые векселя, RUB;2016 - 4мес., Учтённые векселя, RUB;2016 - 5мес., Учтённые векселя, RUB;2016 - 6мес., Учтённые векселя, RUB;2016 - 7мес., Учтённые векселя, RUB;2016 - 8мес., Учтённые векселя, RUB;2016 - 9мес., Учтённые векселя, RUB;2016 - 10мес., Учтённые векселя, RUB;2016 - 11мес., Учтённые векселя, RUB;2016 - 12мес., Учтённые векселя, RUB;2017 - 1мес., Учтённые векселя, RUB
1;СИБКОНТАКТ, ОАО КБ;1915;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""СИБКОНТАКТ""";628181, Ханты-Мансийский Автономный Округ - Югра окр, г. Нягань, микрорайон 2, д. 32;Пастушенко Дмитрий Сергеевич;17.06.1992;26,5;26.12.2017;Недействующая;;Тюменская область;Публичные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;600 000 000;Ликвидировано вследствие банкротства от 26.12.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 20.11.2008, Решение о признании должника банкротом и открытии конкурсного производства от 12.01.2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;МОСКОВСКИЙ КАПИТАЛ (ООО), КБ;3044;"КОММЕРЧЕСКИЙ БАНК ""МОСКОВСКИЙ КАПИТАЛ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105318, г. Москва, ул. Ткацкая, д. 15 корп. 1;Бельков Андрей Олегович;10.08.1994;24,5;05.07.2017;Недействующая;044545150;Москва;Общества с ограниченной ответственностью;Частная собственность;1 415 000 000;Ликвидировано вследствие банкротства от 05.07.2017, Отозвана Генеральная лицензия на осуществление банковских операций от 02.02.2009, Решение о признании должника банкротом и открытии конкурсного производства от 30.04.2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;РАДИАН (ОАО), АКБ;1675;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""РАДИАН"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";664047, Иркутская обл, г. Иркутск, ул. Советская, д. 3;Кузнецов Евгений Юрьевич;20.12.1991;27,0;03.07.2017;Недействующая;042520827;Иркутская область;Публичные акционерные общества;Иная смешанная российская собственность;130 000 000;Ликвидировано по решению суда от 03.07.2017, Решение о признании должника банкротом и открытии конкурсного производства от 09.07.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;БИНБАНК СТОЛИЦА, АО;3052;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИНБАНК СТОЛИЦА""";127051, г. Москва, пл. Сухаревская М, д. 12(Торгово-офисный центр «Садовая галерея»);Юрин Дмитрий Александрович;18.08.1995;23,5;24.03.2017;Недействующая;044525669;Москва;Непубличные акционерные общества;Частная собственность;515 000 000;Прекратило деятельность при присоединении от 24.03.2017, Сообщения о принятии решения о реорганизации от 07.10.2016;4 417 431 000;4 382 474 000;4 446 368 000;4 216 703 000;4 086 532 000;4 099 815 000;4 240 890 000;4 311 114 000;4 488 980 000;4 584 608 000;4 718 096 000;4 892 491 000;110 680 000;277 758 000;108 724 000;93 339 000;44 553 000;30 716 000;40 989 000;36 948 000;133 469 000;46 448 000;51 662 000;146 154 000;24 461 000;21 980 000;32 884 000;21 065 000;21 713 000;24 084 000;19 193 000;23 347 000;21 422 000;19 509 000;37 684 000;18 691 000;0;0;0;0;0;0;0;0;0;0;0;0;4 082 361 000;3 888 669 000;4 090 310 000;3 898 376 000;3 818 562 000;3 851 988 000;3 975 781 000;4 058 582 000;4 137 446 000;4 321 160 000;4 444 992 000;4 551 750 000;197 000;250 170 000;250 143 000;270 115 000;270 087 000;270 087 000;270 029 000;270 000 000;270 000 000;270 000 000;270 000 000;270 000 000;3 532 161 000;3 388 496 000;3 250 164 000;3 128 258 000;2 998 472 000;2 881 898 000;2 755 749 000;2 638 579 000;2 517 443 000;2 401 157 000;2 274 989 000;2 181 747 000;550 000 000;250 000 000;590 000 000;500 000 000;550 000 000;700 000 000;950 000 000;1 150 000 000;1 350 000 000;1 650 000 000;1 900 000 000;2 100 000 000;101 071 000;100 581 000;100 214 000;99 876 000;99 458 000;99 217 000;98 769 000;98 329 000;97 925 000;97 498 000;83 640 000;83 291 000;0;0;0;0;0;0;0;0;0;0;0;0
5;ЗЕЛЕНОКУМСКАЯ АО, НКО;1239;"НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ЗЕЛЕНОКУМСКАЯ"" АКЦИОНЕРНОЕ ОБЩЕСТВО";357910, Ставропольский кр, Советский район, г. Зеленокумск, ул. Учительская, д. 3;Лоза Александр Иванович;20.12.1990;28,0;19.04.2017;Недействующая;040717713;Ставропольский край;Публичные акционерные общества;Частная собственность;90 000 000;Ликвидировано от 19.04.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 03.08.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;РБЦ (ООО), РНКО;3487;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ БАНКОВСКИЙ ЦЕНТР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115035, г. Москва, набережная Овчинниковская, д. 22/24 стр. 1;Перунов Сергей Владимирович;07.07.2008;10,5;30.12.2015;Недействующая;044552422;Москва;Общества с ограниченной ответственностью;Частная собственность;108 500 000;Ликвидировано по решению суда от 30.12.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 18.08.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;НРК, ООО;3386;"НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНАЯ РАСЧЕТНАЯ КОМПАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";119313, г. Москва, проспект Ленинский, д. 89/2;Волков Виталий Александрович;05.11.2001;17,0;27.10.2015;Недействующая;044579980;Москва;Общества с ограниченной ответственностью;Частная собственность;7 000 000;Ликвидировано по решению суда от 27.10.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ЕВРОСОЮЗ (ООО), КБ;3411;"КОММЕРЧЕСКИЙ БАНК ""ЕВРОСОЮЗ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115054, г. Москва, ул. Зацепа, д. 27;Хамчич Максим Александрович;28.05.2002;16,5;08.08.2016;Недействующая;044579418;Москва;Общества с ограниченной ответственностью;Частная собственность;82 000 000;Ликвидировано вследствие банкротства от 08.08.2016, Отозвана Генеральная лицензия на осуществление банковских операций от 26.08.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ТРОЙКА (ОАО), АКБ;2051;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ТРОЙКА""";107031, г. Москва, пер. Звонарский, д. 1 корп. 1;Баклицкий Денис Николаевич;09.09.1992;26,5;03.09.2015;Недействующая;044585239;Москва;Публичные акционерные общества;Частная собственность;31 900 000;Ликвидировано вследствие банкротства от 03.09.2015, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 21.10.2010, Решение о признании должника банкротом и открытии конкурсного производства от 23.12.2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ, ООО КБ;684;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК""";628400, Ханты-Мансийский Автономный Округ - Югра окр., г. Сургут, ул. Энгельса, д. 12;Красников Владимир Михайлович;01.11.1990;28,0;27.12.2016;Недействующая;047144860;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;126 547 500;Ликвидировано от 27.12.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 11.02.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
